,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FromN,Po_idx,bf_width,water_width,Dcascade_width,length,smoothed_bf_w,smoothed_wat_w
0,0,0,0,0,0,2,PO_1,233.4119796,193.3137986,169.7685,3965.0173,191.5660029,45.22424647
1,1,1,1,1,1,3,PO_2,102.4990552,50.80546107,100.6106,6014.9439,191.8126838,55.62310823
2,2,2,2,2,2,4,PO_3a,165.6795936,56.64725561,169.1619,6904.274,192.1045821,66.22317625
3,3,3,3,3,3,5,PO_3b,244.3001443,82.45550746,208.724,1388.0623,192.1722999,68.17322971
4,4,4,4,4,4,6,PO_4,180.7266218,93.94159289,169.3887,8630.2738,202.516276,78.74138075
5,5,5,5,5,5,7,PO_5,218.2315761,69.40182293,195.6691,6099.2909,202.9445958,84.2272082
6,6,6,6,6,6,8,PO_6,233.2217319,93.33434789,162.5507,6680.8787,202.4794503,89.28354671
7,7,7,7,7,7,9,PO_7,175.4282847,94.34688075,177.5772,6115.5475,198.0086361,96.33768648
8,8,8,8,8,8,10,PO_8,181.9674928,128.4532551,176.8996,22342.0098,180.3407716,117.2121367
9,9,9,9,9,9,11,PO_9,169.9118306,138.0432626,170.2113,5443.3835,183.8976138,120.403641
10,10,10,10,10,10,12,PO_10,172.158488,84.57997533,182.7211,9737.8257,211.8570807,125.0397573
11,11,11,11,11,11,13,PO_11,343.0641033,133.0850716,330.8492,21608.2757,296.9533947,127.2582154
12,12,12,12,12,12,14,PO_12,246.8682636,127.4754719,234.8719,7164.8589,334.8306785,136.4496215
13,13,13,13,13,13,15,PO_13,371.2634576,153.1278958,359.0127,8625.1025,371.7197784,147.4259468
14,14,14,14,14,14,16,PO_14a,461.5486265,154.193494,459.6765,5298.5896,387.2238174,155.0667765
15,15,15,15,15,15,17,PO_14b,448.5712312,167.9047685,427.3741,14515.149,405.0365164,179.4587491
16,16,16,16,16,16,18,PO_15,344.3367434,219.4700133,313.1044,18391.0405,409.0666384,208.0490446
17,17,17,17,17,17,19,PO_16,453.990053,307.2503249,439.9309,11833.3929,389.0827053,215.9145714
18,18,18,18,18,18,20,PO_17,398.7103078,338.203643,382.7527,10126.8452,372.8217735,222.8499017
19,19,19,19,19,19,21,PO_18a,349.372425,235.5561943,341.5618,5677.8708,365.0076332,227.9423788
20,20,20,20,20,20,22,PO_18b,319.3570139,218.5279943,309.2814,8761.2748,351.7117583,231.8840586
21,21,21,21,21,21,23,PO_18c,329.7752351,247.1379014,331.3554,21619.9547,327.2205874,237.8658508
22,22,22,22,22,22,24,PO_19a,276.7854376,244.8604337,290.523,20158.2982,339.0994988,232.7852054
23,23,23,23,23,23,25,PO_19b,365.7064912,343.0164716,360.5818,11851.9149,347.1956249,229.296872
24,24,24,24,24,24,26,PO_20a,383.6548726,190.478794,339.5679,5190.6956,350.9685296,226.300128
25,25,25,25,25,25,27,PO_20b,401.044256,222.9127065,321.4777,12387.5326,351.4074688,221.4383552
26,26,26,26,26,26,28,PO_21,310.8783185,226.1981404,302.6503,12426.5263,340.8943653,222.6025671
27,27,27,27,27,27,29,PO_22,313.6302902,237.4027764,300.5837,10644.1711,326.742184,226.4423871
28,28,28,28,28,28,30,PO_23,302.5931517,205.1983273,272.1898,10559.5533,312.7203793,227.4488553
29,29,29,29,29,29,31,PO_24,347.8958318,238.6214322,309.3425,8167.4153,303.5918291,226.2236776
30,30,30,30,30,30,32,PO_25,282.3934233,232.5105838,275.6652,14531.1683,290.5706082,224.7523323
31,31,31,31,31,31,33,PO_26a,262.5235077,212.7011214,269.9523,7696.8474,288.4605446,226.8603137
32,32,32,32,32,32,34,PO_26b,263.529429,220.218515,258.8255,10378.6998,300.003408,233.1999173
33,33,33,33,33,33,35,PO_27,331.4589277,250.5001463,333.2058,16558.8301,325.6631036,242.6405316
34,34,34,34,34,34,36,PO_28,397.0426537,263.9570268,381.7355,16514.2764,356.3056704,251.8975763
35,35,35,35,35,35,37,PO_29,354.9709062,254.2872506,362.4509,14986.6297,378.7609578,262.2091872
36,36,36,36,36,36,38,PO_30a,355.3651746,250.240951,339.8814,2250.34,380.3843901,263.8383988
37,37,37,37,37,37,39,PO_30b,452.0414796,360.9657948,416.187,9561.6127,386.6891205,277.5860465
38,38,38,38,38,38,40,PO_31,365.0812103,302.3668914,360.8659,21677.1775,403.885892,305.1337127
39,39,39,39,39,39,41,PO_32,450.7002498,356.7608324,454.0606,17964.4666,406.2828006,324.0349954
40,40,40,40,40,40,42,PO_33,406.7993315,336.1405979,383.2602,19234.6287,400.1298242,336.4464035
41,41,41,41,41,41,43,PO_34,380.4852427,335.5730549,377.271,18389.7588,390.6570039,344.8903408
42,42,42,42,42,42,44,PO_35,376.6454749,358.1022877,357.9082,22148.7817,376.6497149,354.0239742
