yyyy/mm/dd, SESIA_1, TANARO_1, TICINO_1, SCRIVIA_1, TIDONE_1, LAMBRO_1, NURE_1, ENZA_1, OGLIO_1, SECCHIA_1, DORA BALTEA_1, MALONE_1, MINICIO_1, TREBBIA_1, PARMA_1, PANARO_1, TARO_1, STURA_1, PO_1, PO_2, PO_3a, PO_3b, PO_4, PO_5, PO_6, PO_7, PO_8, PO_9, PO_10, PO_11, PO_12, PO_13, PO_14a, PO_14b, PO_15, PO_16, PO_17, PO_18a, PO_18b, PO_18c, PO_19a, PO_21, PO_22, PO_23, PO_24, PO_25, PO_26b, PO_27, PO_28, PO_29, PO_30a, PO_30b, PO_31, PO_32, PO_33, PO_34, PO_35, ORCO_1, ARDA_1, ADDA_1, PO_26a, PO_20b, PO_20a, PO_19b
1/1/2017,55.07,171.12,125.21,8.06,0.87,10.72,3.83,5.45,44.52,17.11,53.14,4.38,12.24,8.43,5.24,24.57,2.5,19.86,147.14,148.05,150.15,178.44,178.44,184.37,239.75,241.92,246.85,258.08,260.04,321.06,332.85,507.47,514.12,528.37,546.06,683.88,699.87,706.59,709.75,727.23,745.88,845.29,852.61,858.81,867.41,881.51,904.02,908.39,958.29,965.69,979.83,997.99,999.34,1001.69,1029.24,1034.4,1041.35,21.26,2.11,66.62,889.51,838.09,766.04,762.41
1/2/2017,54.75,155.89,124.88,8.64,0.98,12.85,4.15,6.01,45.47,16.58,50.71,4.58,12.82,8.69,5.42,23.96,3.27,19.48,139.34,139.76,141.4,167.75,167.75,172.83,225.35,227.38,232.46,241.72,242.74,302.02,309.01,466.81,471.36,486.69,502.83,639.47,657.04,663.97,667.16,686.5,704,800.59,809.07,817.79,830.56,846.8,877.65,883.65,936.5,945.91,962.13,980.92,984.31,990.13,1019.52,1024.29,1028.47,19.73,2.47,65.82,856.89,793.02,722.24,719.08
1/3/2017,56.69,151.71,126.26,9.88,0.98,16.76,4.2,6.33,49.51,18.87,48.23,3.77,14.27,9.38,5.29,27.47,4.44,16.34,131.97,133.53,136.24,160.63,160.63,167.5,218.42,220.55,224.53,230.74,231.31,291.27,298.74,452.36,455.94,473.47,487.55,618.88,631.11,633.24,634.92,654.29,668.33,764.06,772.73,779.47,792.56,808.71,838.1,844.58,903.96,918.4,938.51,960.77,965.3,971.08,1003.56,1009.38,1014.71,17.33,3.23,68.99,817.99,756.71,682.49,679.73
1/4/2017,43.18,137.19,117.73,7.29,0.86,12.03,3.6,5.59,48.13,17.53,41.99,3.87,11.9,8.02,4.9,25.54,2.37,14.09,109.04,109.65,111.48,133.04,133.04,139.3,184.57,187.59,193.88,209.73,212.6,262.48,274.41,414.9,421.59,434.94,453.04,583.77,600.67,607.67,610.71,629.04,646.34,732.31,737.42,742.6,751.19,766.32,797.39,803.62,862.94,879.03,897.31,918.81,925.23,936.31,974.52,987.41,999.38,15.32,1.88,63.48,775.28,728.04,661.8,659.67
1/5/2017,44.11,121.6,117.65,7.3,0.81,11.74,3.4,5.03,43.21,15.95,40.09,3.24,12.38,7.42,4.49,21.79,2.85,12.01,101.32,102.56,104.84,124.37,124.37,130.06,172.42,174.32,177.97,183.62,184.44,232.33,241.27,365.96,373.02,387.42,407.89,540.07,558.55,565.15,568.11,585.83,601.5,697.88,707.66,716.13,727.14,742.02,764.25,768.58,818.29,831.98,852.2,873.36,881.79,894.45,928.94,940.49,954.73,13.6,2.48,61.75,750.17,688.5,619.77,615.89
1/6/2017,37.96,108.88,113.58,6.23,0.85,10.37,3.25,4.86,42.89,14.65,34.32,3.33,11.88,6.7,4.36,21.15,2.42,11.28,89.96,90.51,92.08,109.58,109.58,114.36,150.96,153.18,158,169.74,171.83,214.84,222.65,333.64,337.9,349.3,362.96,488.38,506.38,514.87,518.65,537.73,558.3,654.69,662.38,669.72,680.37,696.13,730.71,737.3,792.07,805.4,821.34,838.35,842.01,849.44,882.12,896.2,913.64,12.21,2.01,58.97,706.28,647.11,581.81,577.58
1/7/2017,37.85,100.58,113.11,6.36,0.89,11.22,3.31,4.84,42.08,15.1,32.3,3.24,12.16,6.45,4.28,20.2,2.86,10.79,85.28,85.8,87.32,103.8,103.8,107.96,141.88,143.28,146.72,152.55,153.37,194.73,201.7,304.69,310.1,322.74,339.26,461.88,474.56,478.42,480.55,495.83,509.25,603.85,615.05,626.65,640.91,657.32,687.37,693.22,745.42,763.33,784.29,804.72,812.74,824.24,854.04,861.44,870.36,11.42,2.35,57.95,667.14,593.7,528.31,524.23
1/8/2017,37.09,94.02,112.1,6.45,0.9,12.09,3.3,4.95,43.54,14.98,29.99,3.14,12.32,6.45,4.21,20.81,3.05,10.22,81.47,81.95,83.45,98.97,98.97,102.85,134.3,135.65,139.01,144.92,145.71,186.02,191.32,286.77,289.78,301.84,313.77,433.31,447.17,452.5,455.23,472.89,487.03,566.12,572.26,578.52,589.88,605.21,640.97,648.78,707.64,725.61,744.28,762.94,768.53,778.74,813.75,828.19,844.02,10.66,2.41,57.81,615.1,561.44,500.39,498.29
1/9/2017,36.03,90.13,110.63,6.39,0.89,12.32,3.26,4.93,43.9,15.54,28.63,3.05,12.25,6.35,4.14,20.94,3.07,9.74,77.65,78.11,79.57,94.25,94.25,97.96,128.02,129.29,132.48,137.77,138.44,177.46,182.53,274.09,277.18,289.24,300.96,417.45,428.34,431.21,433,448.44,459.97,542.09,549.52,555.83,565.53,578.3,599.78,605.02,658.41,676.52,697.85,719.21,728.42,742.67,776.76,787.57,799.96,9.97,2.4,57.2,585.12,535.49,473.6,471.02
1/10/2017,35.01,85.95,108.96,6.24,0.89,12.3,3.21,4.88,43.63,15.56,27.5,2.98,12.18,6.2,4.07,20.71,3.07,9.36,74.24,74.67,76.1,90.07,90.07,93.56,122.41,123.62,126.71,131.69,132.3,170.18,174.95,262.22,265.14,276.98,288.39,403.08,414.09,417.08,418.9,434.28,444.98,518.15,523.5,528.37,537.9,551.22,577.1,582.58,633.68,643.62,659.88,678.31,683.41,693.88,729.1,744.61,763.29,9.42,2.4,56.37,558.98,514.21,455.36,453.79
