yyyy/mm/dd,SESIA_1,TANARO_1,TICINO_1,SCRIVIA_1,TIDONE_1,LAMBRO_1,NURE_1,ENZA_1,OGLIO_1,SECCHIA_1,DORA BALTEA_1,MALONE_1,MINICIO_1,TREBBIA_1,PARMA_1,PANARO_1,TARO_1,STURA DI LANZO_1,PO_1,PO_2,PO_3a,PO_3b,PO_4,PO_5,PO_6,PO_7,PO_8,PO_9,PO_10,PO_11,PO_12,PO_13,PO_14a,PO_14b,PO_15,PO_16,PO_17,PO_18a,PO_18b,PO_18c,PO_19a,PO_21,PO_22,PO_23,PO_24,PO_25,PO_26b,PO_27,PO_28,PO_29,PO_30a,PO_30b,PO_31,PO_32,PO_33,PO_34,PO_35,ORCO_1,ARDA_1,ADDA_1,PO_26a,PO_20b,PO_20a,PO_19b
01/01/2008,23.87,43.41,84.83,6.76,1.21,14.46,4.8,6.48,55.25,16.36,16.33,1.48,20.48,9.13,4.82,21.41,4.29,4.41,34.93,35.44,36.57,42.64,42.64,44.16,60.59,60.84,61.51,61.51,61.3,85.77,88.37,132.44,133.41,145.14,153.33,239.08,248.03,248.41,249.44,263.89,272.38,336.49,340.52,342.34,350.61,366.33,384.29,388.33,444.2,446.37,467.44,484.38,484.56,483.91,506.12,510.14,515.4,3.5,3.65,58.84,373.22,335.25,276.46,276.53
02/01/2008,18.53,42.96,78.83,5.12,1.29,10.41,4.45,5.58,52.79,15.83,15.25,1.62,18.2,7.84,4.59,20.36,2.94,3.87,28.41,28.77,30.02,36.41,36.41,39.81,57.03,58.57,61.12,64.42,64.47,83.69,85.26,128.92,130.78,139.54,148.33,232.16,240.68,243.33,245.45,258.93,271.33,335.6,337.87,339.05,344.48,358.13,373.13,377.58,435.5,443.97,463.81,480.3,480.95,482.73,505.48,508.92,509.37,3.4,2.47,53.88,363.5,335.09,281.29,280.62
03/01/2008,20.15,41.92,78.91,5.4,1.49,10.86,4.82,5.85,49.1,14.92,15.89,1.87,18.67,7.75,4.8,17.62,3.72,4.33,30.72,30.57,31.27,37.13,37.13,38.04,53.93,54.27,56.13,59.55,60.32,83.24,86.26,128.93,130.46,139.81,146.17,226.95,233.88,235.36,237.21,250.34,260.97,330.63,336.08,339.73,346.49,358.47,368.93,373.17,423.1,427.52,448.87,465.99,470.11,476.7,498.35,501.51,505.52,3.51,3.07,52.48,362.84,326.54,271.53,270.33
04/01/2008,25.19,42.7,82.34,6.85,1.63,15.93,5.16,6.65,54.76,16.7,16.84,1.9,20.93,8.62,5.14,20.53,5.68,5.01,37.2,37.26,38.01,44.14,44.14,44.66,60.97,60.88,61.68,61.45,60.9,86.65,88.09,130.88,131.38,144.32,153.46,236.53,242.85,241.18,242.02,256.86,264.06,326.29,330.41,332.08,342.62,356.76,373.87,379.04,433,430.98,449.94,465.69,463.93,463.14,485.67,491.02,497.81,3.61,4.25,56.07,362.76,325.43,269.56,269.32
05/01/2008,22.61,44.65,79.38,6.33,1.42,14.59,4.67,6.4,56.61,17.58,15.99,1.73,19,8.86,4.84,23.53,4.36,4.5,33.96,34.39,35.69,42.4,42.4,45.42,62.74,63.84,66.01,67.83,67.42,90.34,91.39,136.55,137.46,148.47,156.03,237.5,244.75,246.22,248.05,264.56,275.84,332.05,333.59,333.8,340.68,354.21,368.19,373.08,432.05,437.06,457.01,475.02,474.94,473.44,493.66,493.34,490.84,3.59,3.27,54.65,359.21,333.25,281.31,281.6
06/01/2008,22.31,49.72,83.12,6.09,1.88,13.68,5.08,6.67,53.53,16.78,16.65,1.97,19.12,9.86,4.67,20.4,4.58,4.99,33.48,33.73,34.74,41.5,41.5,43.21,60.4,61.42,63.57,67.79,68.16,92.18,94.85,144.92,144.83,154.89,161.26,244.72,249.59,248.99,250.69,264.19,274.18,341.15,344.6,346.2,352,364.71,369.56,373.96,426.46,428.81,449.18,467.01,468.97,472.4,495.78,499.41,500.37,3.63,3.13,55.41,367.16,338.7,282.37,281.41
07/01/2008,24.1,56.83,85.11,7.87,2.36,16.9,7.61,8.7,57.75,17.46,17.54,2.11,20.45,15.82,5.27,20.16,5.45,5.59,33.93,34.26,35.47,42.79,42.79,45.07,63.29,64.35,66.29,69.45,69.27,93.92,95.13,152.13,152.2,163.87,171.5,257.08,260.68,259.3,261.33,277.42,291.49,350.16,349.86,348.92,355.36,377.06,386.8,391.49,444.49,436.79,453.7,469.48,467.15,465.85,486.85,490.6,495.24,3.88,3.07,60.54,380.82,352.97,296.31,297.08
08/01/2008,24.28,62.35,83.9,9.75,2.62,19.31,8.88,10.09,63.5,21.65,16.76,2.16,20.32,20.39,9.77,20.31,5.56,5.67,33.57,33.91,35.11,42.51,42.51,44.98,62.56,63.71,65.83,70.38,70.61,96.18,98.81,161.5,161.73,174.93,182.24,265.58,269.58,269.16,271.72,291.18,311.32,377.74,377.04,373.81,376.81,405.35,406.24,409.14,465.34,459.01,476.25,495.95,491.69,484.31,495.91,491.88,489.56,3.85,3.06,65.54,410.4,380.14,318.28,319.08
09/01/2008,24.82,66.47,82.5,11.27,2.75,20.25,9.29,10.74,65.27,26.3,16.73,2.19,20.31,23.1,13.72,20.91,5.94,5.69,34.53,34.72,35.71,42.8,42.8,44.76,62.03,62.89,64.79,69.13,69.43,95.69,98.54,165.66,166.73,181.81,191.32,274.52,279.22,278.47,280.86,300.69,323.04,394.62,396.43,395.73,401.29,437.02,446.82,449.41,502.81,487.95,501.09,523.54,517.53,509.65,522.98,517.63,508.81,3.78,3.27,64.59,447.64,394.66,331.8,332.13
10/01/2008,26.17,69.71,81.93,13.06,2.72,21.27,9.56,11.64,67.27,29.26,17.85,2.21,20.97,24.71,14.76,23.14,6.72,5.85,36.57,36.73,37.69,44.84,44.84,46.76,65.1,65.76,67.26,69.96,69.85,96.95,99.26,169.76,170.72,188.17,198.42,280.92,286.27,285.91,288.48,310.02,334.83,406.08,407.92,407.27,414.87,454.04,474.44,479.16,540.47,530.85,545.22,570.24,562.51,549.44,557.61,547.3,536.02,3.87,3.66,64.07,467.23,406.82,344.61,344.9
