,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FromN,Po_idx,bf_width,water_width,Dcascade_width,length,smoothed_bf_w,smoothed_wat_w
0,0,0,0,0,0,2,PO_1,233.4119796,193.3137986,169.7685,3965.0173,191.56600286446303,45.2242464742922
1,1,1,1,1,1,3,PO_2,102.4990552,50.80546107,100.6106,6014.9439,191.812683830403,55.62310822749708
2,2,2,2,2,2,4,PO_3a,165.6795936,56.64725561,169.1619,6904.274,192.10458209569688,66.22317624582442
3,3,3,3,3,3,5,PO_3b,244.3001443,82.45550746,208.724,1388.0623,192.17229991783253,68.17322971387274
4,4,4,4,4,4,6,PO_4,180.7266218,93.94159289,169.3887,8630.2738,202.51627599990923,78.74138075306263
5,5,5,5,5,5,7,PO_5,218.2315761,69.40182293,195.6691,6099.2909,202.944595806206,84.22720820387376
6,6,6,6,6,6,8,PO_6,233.2217319,93.33434789,162.5507,6680.8787,202.47945028515392,89.28354670640041
7,7,7,7,7,7,9,PO_7,175.4282847,94.34688075,177.5772,6115.5475,198.00863606219585,96.33768648158343
8,8,8,8,8,8,10,PO_8,181.9674928,128.4532551,176.8996,22342.0098,180.3407715541394,117.21213673836078
9,9,9,9,9,9,11,PO_9,169.9118306,138.0432626,170.2113,5443.3835,183.8976137779854,120.40364103205515
10,10,10,10,10,10,12,PO_10,172.158488,84.57997533,182.7211,9737.8257,211.85708071679315,125.03975730654038
11,11,11,11,11,11,13,PO_11,343.0641033,133.0850716,330.8492,21608.2757,296.953394683224,127.25821543062874
12,12,12,12,12,12,14,PO_12,246.8682636,127.4754719,234.8719,7164.8589,334.8306784649172,136.4496214756156
13,13,13,13,13,13,15,PO_13,371.2634576,153.1278958,359.0127,8625.1025,371.71977842911286,147.4259468481566
14,14,14,14,14,14,16,PO_14a,461.5486265,154.193494,459.6765,5298.5896,387.2238174060222,155.0667765278241
15,15,15,15,15,15,17,PO_14b,448.5712312,167.9047685,427.3741,14515.149,405.03651635251146,179.45874914317375
16,16,16,16,16,16,18,PO_15,344.3367434,219.4700133,313.1044,18391.0405,409.0666383744936,208.04904462314798
17,17,17,17,17,17,19,PO_16,453.990053,307.2503249,439.9309,11833.3929,389.08270526219394,215.9145713761668
18,18,18,18,18,18,20,PO_17,398.7103078,338.203643,382.7527,10126.8452,372.82177346762256,222.84990172764623
19,19,19,19,19,19,21,PO_18a,349.372425,235.5561943,341.5618,5677.8708,365.0076332301715,227.94237881444064
20,20,20,20,20,20,22,PO_18b,319.3570139,218.5279943,309.2814,8761.2748,351.7117582818836,231.8840585999025
21,21,21,21,21,21,23,PO_18c,329.7752351,247.1379014,331.3554,21619.9547,327.2205874037052,237.86585077971094
22,22,22,22,22,22,24,PO_19a,276.7854376,244.8604337,290.523,20158.2982,339.09949882282245,232.78520540918964
23,23,23,23,23,23,25,PO_19b,365.7064912,343.0164716,360.5818,11851.9149,347.19562487923866,229.29687201545684
24,24,24,24,24,24,26,PO_20a,383.6548726,190.478794,339.5679,5190.6956,350.9685296064424,226.30012795376658
25,25,25,25,25,25,27,PO_20b,401.044256,222.9127065,321.4777,12387.5326,351.4074688277798,221.43835520568223
26,26,26,26,26,26,28,PO_21,310.8783185,226.1981404,302.6503,12426.5263,340.89436526929177,222.60256710948343
27,27,27,27,27,27,29,PO_22,313.6302902,237.4027764,300.5837,10644.1711,326.74218396596035,226.44238709730732
28,28,28,28,28,28,30,PO_23,302.5931517,205.1983273,272.1898,10559.5533,312.72037932546414,227.44885527376226
29,29,29,29,29,29,31,PO_24,347.8958318,238.6214322,309.3425,8167.4153,303.5918290609663,226.22367762999937
30,30,30,30,30,30,32,PO_25,282.3934233,232.5105838,275.6652,14531.1683,290.5706081700055,224.7523322949959
31,31,31,31,31,31,33,PO_26a,262.5235077,212.7011214,269.9523,7696.8474,288.4605446478744,226.86031372436344
32,32,32,32,32,32,34,PO_26b,263.529429,220.218515,258.8255,10378.6998,300.0034080294984,233.19991730395364
33,33,33,33,33,33,35,PO_27,331.4589277,250.5001463,333.2058,16558.8301,325.66310363784675,242.64053161035662
34,34,34,34,34,34,36,PO_28,397.0426537,263.9570268,381.7355,16514.2764,356.3056703945316,251.89757631629308
35,35,35,35,35,35,37,PO_29,354.9709062,254.2872506,362.4509,14986.6297,378.7609578153932,262.20918724706235
36,36,36,36,36,36,38,PO_30a,355.3651746,250.240951,339.8814,2250.34,380.384390078741,263.838398814382
37,37,37,37,37,37,39,PO_30b,452.0414796,360.9657948,416.187,9561.6127,386.6891205473716,277.5860464817504
38,38,38,38,38,38,40,PO_31,365.0812103,302.3668914,360.8659,21677.1775,403.8858920004592,305.13371270441434
39,39,39,39,39,39,41,PO_32,450.7002498,356.7608324,454.0606,17964.4666,406.28280059095937,324.03499543755305
40,40,40,40,40,40,42,PO_33,406.7993315,336.1405979,383.2602,19234.6287,400.1298241551402,336.4464035335006
41,41,41,41,41,41,43,PO_34,380.4852427,335.5730549,377.271,18389.7588,390.6570038680893,344.890340776361
42,42,42,42,42,42,44,PO_35,376.6454749,358.1022877,357.9082,22148.7817,376.6497149156501,354.0239741584983
