"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"2018-11-12",31.4533658529264,171.867131434328,171.867131434328,172.379442769916,172.423328841228,174.578537215075,174.682690859342,175.147135243767,176.872565817644,176.872565817644,30,184.632646161695,184.760454833469,30,189.566341252801,30,30,195.026147209644,197.370774386164,197.557977831462,30,198.166413289454,198.230154623457,201.969580757835,30,30,209.715727061323,210.073490019279,210.127552185855,30,270.534396807963,275.650638159682,30,283.797145058093,30,312.831686743636,312.831686743636,30,30,552.974175986371,30,558.874327497623,638.027773559618,30,689.297561492911,30,731.445599017271,30,30,1158.57311996572,1183.21737875159,1292.01805346791,30,30,1410.14227574248,30,2112.06053006672,2112.06053006672,2112.06053006672,2112.06053006672,31.287215595564,1.51271421627417,7.25096381493862,4.59865907139792,6.54839320192043,59.6306557470573,42.9189308381589,74.6013202346772,35.8625394152497,7.44620011360171,414.104326438685,108.790335171465,73.9440940644964,412.442621655515,277.382713468412
"2018-11-13",30.3901042508856,171.151549713601,171.151549713601,171.67637949022,171.72025945308,173.93250569278,174.031094038565,174.481680334804,176.127593803108,176.127593803108,30,183.554266110638,183.6898317744,30,188.647980628248,30,30,194.120528572136,196.517387755481,196.717327071015,30,197.376990351679,197.498551456561,201.336258506975,30,30,209.661956377728,209.981490396662,210.004795363772,30,272.647911510244,277.199810296977,30,284.528441557323,30,309.071665377923,309.071665377923,30,30,540.64230809145,30,546.727717364454,618.308279510675,30,664.839324732407,30,703.587507221123,30,30,1107.69369710947,1132.37753949037,1239.15617853349,30,30,1348.12702581172,30,2015.8103365277,2015.8103365277,2015.8103365277,2015.8103365277,30.2253771768633,1.43943419100225,6.83393938601904,4.27849250533229,6.74046403052006,62.0849817318177,41.8428206933304,66.9265607962598,32.3057782272019,6.4365921707734,389.810040028226,106.728469010604,64.7526940091042,382.657593848368,270.887765742057
"2018-11-14",29.1066141284235,169.927192764124,169.927192764124,170.431765559204,170.477148474475,172.71308903599,172.792562359967,173.286121173268,174.893118986754,174.893118986754,30,182.022709216856,182.178224423249,30,187.246348637032,30,30,192.750599789317,195.247208267134,195.468049563254,30,196.194139474015,196.379261347442,200.257762076103,30,30,208.83497390851,209.229757895338,209.35688011749,30,272.914918460016,277.485111119815,30,284.586013482642,30,305.813107099551,305.813107099551,30,30,527.126697080615,30,533.259740518763,596.656710371024,30,639.041237645087,30,674.733347290369,30,30,1033.23754494945,1057.51436187016,1159.63241749716,30,30,1260.5836131285,30,1882.09225718436,1882.09225718436,1882.09225718436,1882.09225718436,28.9446604529729,1.36050230499095,6.45893365417608,4.00969888886896,6.82462585134907,62.9206077399441,38.6682854141044,58.7258364361732,29.3807854582005,5.53340272910193,343.63619960404,102.041276631951,57.4270117561369,355.536570954356,250.484208247192
"2018-11-15",27.9745662177088,168.644014447687,168.644014447687,169.130459587964,169.175436546924,171.407155841412,171.480651996983,171.99454757135,173.544498399702,173.544498399702,30,180.365096335636,180.522989532537,30,185.578028907266,30,30,191.052844036036,193.624922467743,193.863566117857,30,194.651575959794,194.896810339306,198.814953529846,30,30,207.567049857489,208.013025814655,208.229989051265,30,271.944551618716,276.525794585333,30,283.435178644395,30,302.18842516302,302.18842516302,30,30,512.559016021155,30,518.699745145202,574.300980714552,30,613.190666519018,30,646.222067239888,30,30,953.72723963485,976.96452352818,1072.91683826562,30,30,1166.14857486763,30,1736.47458841411,1736.47458841411,1736.47458841411,1736.47458841411,27.8192970819858,1.28919487562389,6.12249576070762,3.78270821297267,6.8487240831092,63.0366061025862,34.4558951017648,50.9623386241561,26.987853326787,4.77781086419729,292.900899070375,95.8659206789285,51.568782339025,331.119141018723,223.490309379923
"2018-11-16",26.9807114049637,167.311542385851,167.311542385851,167.783823014729,167.82832293554,170.045278886261,170.115992776662,170.642849110695,172.139058651378,172.139058651378,30,178.658178745026,178.814603588851,30,183.791678880444,30,30,189.175892391379,191.772746871619,192.022237566564,30,192.852070366612,193.142863625992,197.09677223723,30,30,206.069449830342,206.541599331511,206.812353519968,30,270.62097950844,275.102037469533,30,281.77038971444,30,298.47768641157,298.47768641157,30,30,498.324335715489,30,504.333217611264,553.025209976455,30,588.906941393227,30,619.551474194447,30,30,880.671739793593,902.478406098352,991.621184879882,30,30,1077.57123078815,30,1597.62498759647,1597.62498759647,1597.62498759647,1597.62498759647,26.8319359675249,1.22830820647793,5.8246387631366,3.59239990347623,6.88248621190544,63.1459711642999,30.1335323396684,44.1374772178284,25.0104212152082,4.16172500498692,247.339197139256,89.0592255041366,46.842280333936,309.380599413699,195.537885259904
"2018-11-17",26.0974290377632,165.95010230216,165.95010230216,166.410340316905,166.454227585329,168.65342286487,168.722470501031,169.256569403047,170.701437564129,170.701437564129,30,176.959643339929,177.112577571468,30,181.977649546492,30,30,187.279320165503,189.864683189506,190.114272040519,30,190.977282908342,191.288904711111,195.478397928094,30,30,204.503688896267,204.982716170335,205.275400762423,30,269.013380529754,273.797003662606,30,280.955708072082,30,297.994403208627,297.994403208627,30,30,491.54992121003,30,497.572064970043,541.265628038334,30,575.942868564934,30,605.536464997594,30,30,832.463825122785,853.157857205102,937.763196791934,30,30,1019.50815212932,30,1495.16599219308,1495.16599219308,1495.16599219308,1495.16599219308,25.9544263970329,1.17287236593455,5.55982707759142,3.44397947746814,6.9143960863528,63.0691562508523,26.9904792878208,39.1582699119103,24.2885865629564,3.85933879598576,214.164580897621,84.543168011065,44.190289456892,291.328363944592,170.975082714779
"2018-11-18",25.2919745982838,164.576625308114,164.576625308114,165.026073595102,165.069231054174,167.248938105117,167.316803513767,167.85401860567,169.250666419731,169.250666419731,30,175.269501831651,175.419355021885,30,180.165722826679,30,30,185.299934264203,187.870429299445,188.122082936216,30,188.992484948384,189.312073428964,193.378217603319,30,30,202.639958048592,203.149374123029,203.490935941014,30,266.954347007224,271.450509878817,30,278.149217603959,30,293.837348636092,293.837348636092,30,30,480.223774873024,30,485.954454464549,525.149213354621,30,558.357320910461,30,586.57980862901,30,30,785.425740304108,805.173547451628,883.805211802801,30,30,960.241159357273,30,1397.2145995804,1397.2145995804,1397.2145995804,1397.2145995804,25.1537883207217,1.1229329845227,5.32599645031829,3.31099307653732,6.93323578439677,62.801354384447,24.0413971902716,34.7903078793171,23.5536806368473,3.4946765359212,186.83887983035,78.5729461105354,41.5052866384383,274.751918075263,149.418093157535
"2018-11-19",24.8552759091515,163.701859725578,163.701859725578,164.155453946588,164.197457290533,166.235303385914,166.298566759083,166.779011905375,168.112552308627,168.112552308627,30,173.871117556928,174.084839212052,30,179.015798889255,30,30,184.007652022547,186.709742969213,186.935006270811,30,187.685121080577,187.930415696455,192.009220850818,30,30,201.092602907834,201.559674688324,201.868275084923,30,265.099122298582,269.870668490972,30,276.928216657837,30,292.266288983383,292.266288983383,30,30,473.615755521189,30,479.687651458571,515.711244091223,30,548.449325348235,30,575.382281266767,30,30,751.326094179897,769.693180325537,842.690547853856,30,30,914.394445855236,30,1318.17411526487,1318.17411526487,1318.17411526487,1318.17411526487,24.7158522106538,1.09965817354765,5.1901054076692,3.23490434794528,7.01359078001714,62.6139450652435,21.7838735695809,31.5508131399382,23.520387803898,3.25360662192757,165.282540710522,72.9504352902088,39.2133539141584,260.588144355798,131.510583783266
"2018-11-20",24.0284208587936,162.189344445485,162.189344445485,162.649793000017,162.694006137813,164.855782293326,164.923270759603,165.446808255503,166.77263211332,166.77263211332,30,172.399609734328,172.615720516892,30,177.422418187632,30,30,182.496547349382,185.242958623005,185.495466472416,30,186.328762841191,186.573141234879,190.924912070385,30,30,200.174450200428,200.641840154608,200.878082387114,30,265.714600529311,270.710688403318,30,279.061878463084,30,298.219046544204,298.219046544204,30,30,479.404221280069,30,486.590631075314,522.975464800759,30,562.446019301247,30,622.026570840507,30,30,841.824083939644,855.865651502775,949.135058596656,30,30,1010.69621773135,30,1404.73445089339,1404.73445089339,1404.73445089339,1404.73445089339,23.8904831107858,1.06630796634616,5.0169158536814,3.15902753223352,7.19657448160104,64.2505916387524,21.5444967537779,31.7620117180509,25.0416535394325,4.33464685468803,204.47906154907,93.3770928902185,38.8720947323172,250.560877666932,137.999713471978
"2018-11-21",23.3094518720588,160.824629420059,160.824629420059,161.359656680377,161.400762771982,164.341995435373,164.480051084393,165.074773576816,166.425138727087,166.425138727087,30,172.060390607504,172.368187017913,30,177.898530834939,30,30,183.206161665394,186.985834971914,187.538275472595,30,188.061593710305,187.877355071942,191.477099835321,30,30,200.76594927521,201.267212986305,201.380112104195,30,270.093708271172,275.475484566709,30,284.424426920079,30,305.32848860358,305.32848860358,30,30,500.38554087755,30,508.922584403965,552.763171121409,30,616.287749984672,30,696.108309106222,30,30,934.645810187525,964.527469693097,1109.93654118488,30,30,1213.88016501246,30,1649.09640197541,1649.09640197541,1649.09640197541,1649.09640197541,23.1766493646005,1.14747877155568,5.1818578547902,3.62930305604524,7.63136227073647,67.91703179946,21.9622119637047,37.194072897929,44.2869257660267,7.31735576521381,214.662829791753,145.544072938851,58.9195746809207,251.42496517487,179.546885580772
