"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
2004-01-01,230.575520999809,230.575520999809,230.575520999809,234.231561325847,235.091087582148,238.083303863674,248.395151907896,249.634238435421,250.411350441416,290.946531910524,290.946531910524,310.288726521751,310.288726521751,322.417423609321,322.417423609321,328.586495453617,328.586495453617,328.586495453617,329.273175425819,347.170652609766,347.170652609766,362.970418224594,362.970418224594,363.710684438807,364.73259410015,366.201127755823,366.201127755823,369.159373387774,370.008606564817,384.002369400269,505.645736372957,505.645736372957,509.79708080209,513.474499256796,516.972581938966,519.057777658824,519.057777658824,1036.26347495049,1036.26347495049,1058.45536307953,1062.87326467104,1063.89999360572,1066.03895821066,1101.02245953706,1117.38454726247,1374.07156090626,1450.63464756336,1455.37071090285,1457.9484348645,1463.31901775458,1476.65013811228,1477.33233376555,1478.97949933061,1479.68390036998,1479.68390036998,1485.56342724788,1485.56342724788,1576.64469549775,1576.64469549775,1577.23033194574,1590.78768093143,1625.02269164688,1650.67918112708,1684.1207708919,1888.70595351443,1942.42279135964,1942.42279135964
2004-01-02,227.404264832451,227.404264832451,227.404264832451,231.026643725616,231.863097835913,235.141142506924,245.392570907277,246.679374102163,247.580271862653,287.154181434143,287.154181434143,306.057717995302,306.057717995302,318.040435938642,318.040435938642,324.505695417319,324.505695417319,324.505695417319,325.146341812738,342.740160025817,342.740160025817,359.098216107413,359.098216107413,359.998091112243,360.989743349022,362.913507765754,362.913507765754,366.069878241339,366.936738609305,380.829369164531,498.668172974703,498.668172974703,502.981491439663,506.68401017406,510.469110938855,512.758756642402,512.758756642402,1024.09857979661,1024.09857979661,1046.40228642353,1050.96330583183,1052.03486306511,1054.16270476611,1089.07772638871,1105.44621158876,1359.816438775,1435.54815060401,1440.26699974785,1442.83671723801,1448.10054803831,1461.16979079983,1461.83200346667,1463.43629721863,1464.11610714443,1464.11610714443,1469.8533994731,1469.8533994731,1557.39640803411,1557.39640803411,1557.97747501167,1571.12320561782,1604.22290548544,1629.34734876503,1662.05389159597,1865.49973038218,1917.1332867813,1917.1332867813
2004-01-03,223.744539406993,223.744539406993,223.744539406993,227.331314382303,228.142686137987,231.599979691986,241.767801667599,243.080343285355,244.0765266444,282.667877837348,282.667877837348,301.035905947279,301.035905947279,312.781965322343,312.781965322343,319.439226871363,319.439226871363,319.439226871363,320.0413396287,337.290177176364,337.290177176364,353.923074977735,353.923074977735,354.965139461152,355.920263305534,358.071568094956,358.071568094956,361.308223292569,362.181359869234,375.807735218083,489.40808103905,489.40808103905,493.895696723129,497.509609819346,501.443115391366,503.782993541169,503.782993541169,1004.15005484648,1004.15005484648,1026.25558137897,1030.80496263905,1031.94657059919,1034.16335548665,1068.08479715124,1084.47035605971,1334.86519176167,1408.96176683977,1413.89844202325,1416.55872240287,1421.75471715938,1434.52126514579,1435.40981626707,1437.19742749846,1438.06225058017,1438.06225058017,1443.67451726572,1443.67451726572,1527.80016641054,1527.80016641054,1528.49955325158,1541.5987764734,1573.55880878681,1598.48987892527,1630.77039637061,1833.2990380554,1883.04556880515,1883.04556880515
2004-01-04,219.777802529167,219.777802529167,219.777802529167,223.309833027171,224.092408327192,227.652577255951,237.720764957658,239.044173188611,240.106802746366,277.713195746406,277.713195746406,295.552281676201,295.552281676201,306.995395039461,306.995395039461,313.738508049658,313.738508049658,313.738508049658,314.303886422797,331.233145989363,331.233145989363,347.919757320364,347.919757320364,349.055583338546,349.975374686441,352.302832591812,352.302832591812,355.590863104756,356.45869354589,369.757566746497,478.971445090449,478.971445090449,483.547383978076,487.096480366273,491.143770392793,493.550490812848,493.550490812848,981.953886293483,981.953886293483,1003.65177636615,1008.17273506802,1009.30978474564,1011.53317113326,1044.45777746202,1060.54868012244,1306.31704721085,1378.59043598943,1383.54836562566,1386.2145914721,1391.27816703674,1403.69595622475,1404.66604214118,1406.51689692633,1407.45169585905,1407.45169585905,1412.94050675481,1412.94050675481,1493.58009734309,1493.58009734309,1494.32719860298,1507.20107280515,1538.01225094623,1562.57248297409,1594.27384308468,1795.49524888808,1843.38807581654,1843.38807581654
2004-01-05,215.641150836011,215.641150836011,215.641150836011,219.103478937121,219.854908275322,223.455924434613,233.411940636402,234.733148627037,235.83860650459,272.465461513874,272.465461513874,289.779482710814,289.779482710814,300.890742723638,300.890742723638,307.642550785501,307.642550785501,307.642550785501,308.174124552744,324.790420536313,324.790420536313,341.383245992126,341.383245992126,342.577695305262,343.459411947311,345.900167948134,345.900167948134,349.202900380335,350.05878618707,362.995756688876,467.782877806635,467.782877806635,472.383639582551,475.853927143834,480.037158512835,482.536386819951,482.536386819951,958.708097324731,958.708097324731,979.928809451828,984.602444894706,985.727157303196,987.927186926146,1019.7505281452,1035.40808736535,1276.02920258159,1346.41201491091,1351.32239765498,1353.95713657597,1358.86086589167,1370.90854276656,1371.90832924179,1373.77369446372,1374.73398748171,1374.73398748171,1380.10297118743,1380.10297118743,1457.37467531353,1457.37467531353,1458.13544355769,1470.69071483347,1500.36217962707,1524.4472381188,1555.46717020508,1754.99201152058,1801.0708181438,1801.0708181438
2004-01-06,211.467787786136,211.467787786136,211.467787786136,214.845361116503,215.5642789895,219.149753965465,228.980610730417,230.286591376242,231.414575556268,267.076697133513,267.076697133513,283.884374478521,283.884374478521,294.646565385516,294.646565385516,301.348472728776,301.348472728776,301.348472728776,301.849652324769,318.156202186979,318.156202186979,334.543904611608,334.543904611608,335.769679740829,336.613160671152,339.114921938225,339.114921938225,342.402036433502,343.240816051717,355.804517896807,456.190666821208,456.190666821208,460.765178493244,464.146782100865,468.309690499028,470.807771793822,470.807771793822,933.534157428921,933.534157428921,954.333308933102,958.82408540128,959.955554834503,962.156022193757,993.041817571746,1008.32124990085,1243.66851347604,1312.27372789276,1317.15230385468,1319.76406168456,1324.52195490737,1336.2037868886,1337.23869309451,1339.1190582164,1340.11011215035,1340.11011215035,1345.36575940041,1345.36575940041,1419.47425376981,1419.47425376981,1420.24884562183,1432.49060377423,1461.06172911428,1484.67754738055,1515.02016855187,1712.6066004905,1756.9721270708,1756.9721270708
2004-01-07,207.396179516683,207.396179516683,207.396179516683,210.674185381527,211.360296355731,214.877611675297,224.570458506073,225.85519522156,226.984048216705,261.743402711647,261.743402711647,278.037057289286,278.037057289286,288.432648257415,288.432648257415,295.028382362863,295.028382362863,295.028382362863,295.50169969261,311.514473965292,311.514473965292,327.603016736759,327.603016736759,328.834503516017,329.639440359197,332.155163461524,332.155163461524,335.400627249968,336.218271078509,348.414007555446,444.479228383468,444.479228383468,448.986036992959,452.270604822376,456.394172879237,458.881100291354,458.881100291354,907.731582842621,907.731582842621,928.05688006863,932.472705743736,933.583084981928,935.758284828337,965.705473156925,980.551943122246,1210.36212995978,1277.24180160571,1282.0582396598,1284.63426806411,1289.24293470295,1300.56530483831,1301.61842860808,1303.4964643391,1304.50216641916,1304.50216641916,1309.65083335629,1309.65083335629,1380.74937501732,1380.74937501732,1381.52857020845,1393.4452016538,1420.9672312519,1444.10694179903,1473.77291703927,1669.23534467038,1711.9919427562,1711.9919427562
2004-01-08,205.558569960642,205.558569960642,205.558569960642,208.698795044071,209.360390860217,212.282943992775,221.911215033159,223.119650434922,224.08560524964,258.719225238587,258.719225238587,274.550332981777,274.550332981777,284.561696409663,284.561696409663,290.81254745431,290.81254745431,290.81254745431,291.258053536793,307.022660953696,307.022660953696,322.715726212626,322.715726212626,323.749604662069,324.573327439648,327.114745641145,327.114745641145,330.300169177847,331.089259570077,343.313364315923,436.545364210137,436.545364210137,440.797005631314,444.217572389027,448.184315320866,450.521840009027,450.521840009027,895.153626617211,895.153626617211,915.48225431372,919.831750687731,920.727442998322,922.649944741859,951.50731334516,965.198407901257,1189.86181192248,1254.51552971725,1258.84555329645,1261.2089923958,1265.57240478652,1276.57197133335,1277.39485969899,1279.04826723992,1279.85873313977,1279.85873313977,1284.93762979532,1284.93762979532,1353.0886097779,1353.0886097779,1353.74531854696,1365.04582774283,1391.74389827525,1414.36764967764,1443.31488400157,1636.43981414405,1677.59509232097,1677.59509232097
2004-01-09,210.002392384936,210.002392384936,210.002392384936,212.847293519101,213.546164881228,215.227922850373,224.984452518317,226.11816411937,226.523414146558,262.876609091112,262.876609091112,278.239150266839,278.239150266839,287.329227746706,287.329227746706,292.610096498051,292.610096498051,292.610096498051,293.102778232682,308.498006203956,308.498006203956,322.782504316988,322.782504316988,323.345297645637,324.252464630451,325.620472121787,325.620472121787,328.165041853342,328.865288141091,340.686258530151,431.149382762895,431.149382762895,434.868019389989,437.982079874584,441.314246540329,443.390491971653,443.390491971653,881.470721704578,881.470721704578,900.877345815687,905.042034266913,906.044567391629,908.016636700702,937.10680930305,950.676322803984,1172.33894010957,1236.31806966177,1240.49995308525,1242.80961442231,1247.08425244367,1257.90095899907,1258.65909420113,1260.21300543403,1260.97971327319,1260.97971327319,1266.01802745723,1266.01802745723,1331.55292201755,1331.55292201755,1332.1329438383,1343.00613599303,1368.93306465053,1391.02426072457,1419.54560561338,1610.70163609723,1650.73515382071,1650.73515382071
2004-01-10,213.758544897211,213.758544897211,213.758544897211,216.776006898873,217.499806278412,218.390475505902,228.273029065211,229.504346062475,229.828548739428,270.186269442334,270.186269442334,285.453893691581,285.453893691581,293.964677715197,293.964677715197,297.598045582819,297.598045582819,297.598045582819,298.233181341254,313.580624910371,313.580624910371,325.242282831558,325.242282831558,325.458028361913,326.278284039138,327.038483951343,327.038483951343,329.185019115135,329.813197257693,341.383635668932,430.475216270221,430.475216270221,433.553072961377,436.532247423554,439.17266977963,440.88836458312,440.88836458312,875.770264899534,875.770264899534,894.522831473481,898.424294958268,899.245925759503,901.048411057389,929.53475498979,942.471139274877,1161.54743153418,1224.67161492984,1228.56793302308,1230.73067314208,1234.85499762142,1245.51957812848,1246.13034222323,1247.51902585159,1248.15624336341,1248.15624336341,1253.12632344282,1253.12632344282,1316.33798628584,1316.33798628584,1316.80662819735,1327.19570321715,1352.28788730715,1373.82431922876,1401.66098945066,1590.37185060634,1629.0257219753,1629.0257219753
