yyyy/mm/dd,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
01/01/2004,230.6976519,230.6976519,230.6976519,234.3268469,235.1852348,238.1374528,248.4171178,249.6487612,250.4148736,290.8976733,290.8976733,310.2580707,310.2580707,322.2531944,322.2531944,328.4213383,328.4213383,328.4213383,329.1079069,347.0527779,347.0527779,362.7988442,362.7988442,363.5332627,364.5544092,366.0091051,366.0091051,368.964454,369.8124633,383.7950976,505.1064499,505.1064499,509.2360724,512.9026453,516.4458444,518.6675577,518.6675577,1038.197185,1038.197185,1060.435459,1064.865622,1065.911725,1068.022219,1103.270017,1119.684785,1377.297513,1454.924704,1461.190588,1463.771326,1465.024832,1482.645555,1483.338262,1485.026084,1485.760295,1485.760295,1491.684319,1491.684319,1582.464364,1582.464364,1583.066082,1597.295987,1632.340648,1658.079061,1692.405624,1888.426543,1943.490616,1943.490616,32.68576086,118.9637862,39.38637746,90.07969433,194.6338859
02/01/2004,227.6843824,227.6843824,227.6843824,231.2859922,232.1208599,235.3387228,245.5506649,246.8260025,247.7084895,287.2146297,287.2146297,306.1215176,306.1215176,317.9406733,317.9406733,324.392032,324.392032,324.392032,325.0321526,342.6884683,342.6884683,358.9789824,358.9789824,359.8723004,360.8631099,362.7737601,362.7737601,365.929513,366.7953018,380.6776665,498.4317658,498.4317658,502.6973211,506.382765,510.1823348,512.6105543,512.6105543,1025.204441,1025.204441,1047.539296,1052.093602,1053.180663,1055.271318,1090.524416,1106.930371,1361.963825,1438.610787,1444.789522,1447.3622,1448.623558,1465.830683,1466.499702,1468.144692,1468.853371,1468.853371,1474.627565,1474.627565,1561.93587,1561.93587,1562.533085,1576.325068,1610.111696,1635.312039,1668.87393,1863.478609,1916.377384,1916.377384,31.75602861,115.1176442,38.95886836,86.59554949,193.1751463
03/01/2004,224.1765243,224.1765243,224.1765243,227.7436461,228.5535135,231.9473906,242.0723871,243.3722471,244.3471812,282.8625281,282.8625281,301.2253761,301.2253761,312.7865422,312.7865422,319.4175223,319.4175223,319.4175223,320.0186791,337.3402952,337.3402952,353.8874157,353.8874157,354.919227,355.8730388,358.0059067,358.0059067,361.2405665,362.1122761,375.7276753,489.7124434,489.7124434,494.1159004,497.7040998,501.6206013,504.1163484,504.1163484,1004.806786,1004.806786,1026.922321,1031.436149,1032.586816,1034.757088,1068.916865,1085.331729,1336.116945,1411.070167,1417.395095,1420.053695,1421.399625,1438.151597,1439.040817,1440.863909,1441.751964,1441.751964,1447.395483,1447.395483,1531.31384,1531.31384,1532.026159,1545.735888,1578.288203,1603.281903,1636.381761,1829.837167,1880.773494,1880.773494,30.88637592,111.0954646,38.07923255,82.89807106,191.6478659
04/01/2004,220.3407967,220.3407967,220.3407967,223.8548068,224.6360534,228.1372713,238.1627603,239.4739891,240.5157075,278.048458,278.048458,295.8764454,295.8764454,307.1232669,307.1232669,313.8321318,313.8321318,313.8321318,314.3962923,331.4046513,331.4046513,347.9927935,347.9927935,349.114939,350.0329767,352.3358018,352.3358018,355.6193544,356.485276,369.7719655,480.0533624,480.0533624,484.5094176,488.0222002,492.0190547,494.578641,494.578641,982.5078511,982.5078511,1004.195134,1008.65766,1009.797414,1011.965864,1045.089417,1061.187866,1307.048622,1380.103557,1386.381851,1389.040254,1390.394573,1406.643562,1407.60747,1409.487264,1410.438684,1410.438684,1415.954894,1415.954894,1496.391788,1496.391788,1497.147741,1510.59442,1541.929658,1566.537161,1599.020967,1790.975339,1839.991106,1839.991106,30.0691659,107.2602512,37.15341716,79.28237702,189.9193786
05/01/2004,216.3097871,216.3097871,216.3097871,219.7561175,220.5064427,224.0566483,233.9718654,235.2823535,236.3690912,272.9302393,272.9302393,290.2394156,290.2394156,301.1516229,301.1516229,307.8663377,307.8663377,307.8663377,308.3965157,325.096724,325.096724,341.5801387,341.5801387,342.7585766,343.6382373,346.0496282,346.0496282,349.3457456,350.1993275,363.1230838,469.832129,469.832129,474.2825041,477.7083658,481.8110436,484.4541624,484.4541624,959.4512195,959.4512195,980.6499197,985.2432127,986.3650507,988.50131,1020.489648,1036.136424,1276.568495,1347.666169,1353.833003,1356.454093,1357.784284,1373.513204,1374.501569,1376.389017,1377.359282,1377.359282,1382.753189,1382.753189,1459.828126,1459.828126,1460.593339,1473.679812,1503.828051,1527.944795,1559.711162,1749.797516,1796.940087,1796.940087,29.29121433,103.6230329,36.26325555,75.86560535,187.9507848
06/01/2004,212.2139122,212.2139122,212.2139122,215.5784563,216.2965221,219.8412097,229.6341525,230.9313533,232.0437812,267.6498922,267.6498922,284.4553324,284.4553324,295.0259199,295.0259199,301.6949883,301.6949883,301.6949883,302.1948268,318.5897442,318.5897442,334.8692808,334.8692808,336.0780057,336.9192944,339.3891892,339.3891892,342.6684746,343.5047234,356.0546526,459.3389213,459.3389213,463.7397439,467.0719938,471.1323214,473.7683087,473.7683087,934.7052462,934.7052462,955.4694092,959.8593499,960.9833788,963.1106419,994.132711,1009.386785,1244.296089,1313.56596,1319.639681,1322.232589,1323.546466,1338.765092,1339.784183,1341.680314,1342.675362,1342.675362,1347.954433,1347.954433,1421.920074,1421.920074,1422.69449,1435.431571,1464.449042,1488.080494,1519.132953,1707.115475,1752.491871,1752.491871,28.55189973,100.1840243,35.43024508,72.70674546,185.7731562
07/01/2004,208.2007538,208.2007538,208.2007538,211.4683046,212.1537461,215.6387164,225.2958684,226.5736393,227.6900396,262.4004051,262.4004051,278.6955872,278.6955872,288.9101604,288.9101604,295.4796623,295.4796623,295.4796623,295.9518096,312.0566415,312.0566415,328.0500349,328.0500349,329.2649028,330.0676998,332.5517032,332.5517032,335.7893646,336.6044582,348.7864975,448.8075123,448.8075123,453.1241838,456.3558171,460.3624404,462.9917058,462.9917058,909.5317208,909.5317208,929.8168135,934.1208081,935.2194327,937.3133729,967.3803579,982.1866706,1211.364334,1278.865481,1284.819448,1287.371369,1288.659384,1303.381886,1304.414488,1306.30176,1307.305316,1307.305316,1312.476627,1312.476627,1383.579142,1383.579142,1384.352855,1396.727875,1424.677632,1447.817394,1478.15623,1663.844539,1707.559593,1707.559593,27.89948027,96.9482849,34.65134428,69.81968319,183.4398407
08/01/2004,206.3365657,206.3365657,206.3365657,209.4768745,210.1385938,213.0550748,222.6675544,223.8726653,224.8318894,259.3841359,259.3841359,275.2307137,275.2307137,285.094318,285.094318,291.3421155,291.3421155,291.3421155,291.7867362,307.6385091,307.6385091,323.2434571,323.2434571,324.2655086,325.0876992,327.6044618,327.6044618,330.7848597,331.5719131,343.7838484,442.1306845,442.1306845,446.1841052,449.549799,453.3795491,455.7834842,455.7834842,897.611352,897.611352,917.9263183,922.1858175,923.0679153,924.8969205,953.8479916,967.4931418,1191.402441,1256.643576,1262.059079,1264.395706,1265.522211,1279.815217,1280.615426,1282.273957,1283.078726,1283.078726,1288.185243,1288.185243,1356.605655,1356.605655,1357.25274,1368.972434,1396.086347,1418.702473,1448.302278,1631.462765,1673.528195,1673.528195,28.19702526,95.6515796,34.07204381,67.43010988,181.3915166
09/01/2004,210.4617395,210.4617395,210.4617395,213.3479986,214.0496708,215.8144796,225.5992086,226.7448446,227.166368,263.3388617,263.3388617,278.7646223,278.7646223,287.804371,287.804371,293.1176916,293.1176916,293.1176916,293.6106146,309.0553636,309.0553636,323.3018053,323.3018053,323.8641665,324.7712537,326.132932,326.132932,328.6812435,329.3807845,341.1936599,438.0447271,438.0447271,441.5499575,444.6080383,447.7926868,449.9020077,449.9020077,884.7999354,884.7999354,904.1582883,908.2354608,909.2216633,911.0971046,940.1923583,953.7080054,1174.615048,1239.122007,1244.332751,1246.61241,1247.70586,1261.74921,1262.478299,1264.034309,1264.792311,1264.792311,1269.866406,1269.866406,1336.050766,1336.050766,1336.617081,1347.873455,1374.209226,1396.282683,1425.420886,1606.410175,1647.305821,1647.305821,30.55227689,94.96388555,33.82248379,65.39722287,179.3884588
10/01/2004,213.9082382,213.9082382,213.9082382,216.8978714,217.6254512,218.6561003,228.5974558,229.853911,230.217296,270.3149493,270.3149493,285.7094879,285.7094879,294.2936415,294.2936415,297.9900345,297.9900345,297.9900345,298.6264467,314.0329058,314.0329058,325.7043439,325.7043439,325.9269553,326.7480774,327.5168507,327.5168507,329.6746517,330.3033649,341.8696233,438.8095299,438.8095299,441.6598264,444.5775055,447.0513038,448.7141004,448.7141004,880.2099238,880.2099238,898.8725484,902.6884329,903.4893775,905.1878036,933.7170235,946.5761692,1165.043194,1228.590356,1233.449592,1235.574682,1236.578333,1250.406524,1250.97289,1252.354917,1252.975321,1252.975321,1257.986414,1257.986414,1322.321768,1322.321768,1322.76975,1333.500152,1359.000352,1380.498303,1408.892818,1587.2165,1626.683151,1626.683151,33.88192034,95.9480243,33.61791655,63.7806581,177.1695947
