"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72"
"2011-02-01",210.351212235173,210.351212235173,210.351212235173,213.871776959587,214.34559576372,217.31346262914,228.789698813424,230.176385485426,231.221406554443,265.181549456301,30,279.764964145643,279.764964145643,30,30,294.825533900474,294.825533900474,30,30,30,30,323.935432886066,30,325.017894580789,325.578351619601,327.78010668148,327.78010668148,330.101477238765,330.627902421507,338.427576313148,434.309083995607,434.309083995607,30,30,30,30,446.012972946416,963.109037682154,263.109037682154,977.245265569817,980.728242434339,30,30,1003.68592663402,1013.86829908348,1226.67321730972,1275.26952007453,30,1282.25240147693,30,30,1294.20463640094,30,30,30,30,30,30,30,30,1361.71665847269,30,1398.24154801658,30,1598.06785434956,30,1632.97771320317,28.1875208583926,92.8878929684446,25.7248678960528,51.5921910258372,174.923666692193
"2011-02-02",207.094599651677,207.094599651677,207.094599651677,210.475709857746,210.9263838049,213.796755076664,225.038939751919,226.396235871777,227.418310325301,260.576581896854,30,274.773928073125,274.773928073125,30,30,289.356276166664,289.356276166664,30,30,30,30,317.729086143942,30,318.76669928338,319.298075588106,321.40817771306,321.40817771306,323.651873147352,324.158136705894,331.7340946537,421.947270556134,421.947270556134,30,30,30,30,433.624590988609,926.459676273866,226.459676273866,940.155670944966,943.529247141317,30,30,965.774633179264,975.576013303325,1183.60466807027,1231.2443438082,30,1237.98971107816,30,30,1249.55124999204,30,30,30,30,30,30,30,30,1315.32967763271,30,1350.76160622342,30,1545.63869350991,30,1579.70333487616,27.5673401574207,87.135890348904,25.3103548287187,50.4257839894031,170.697442018208
"2011-02-03",203.960667644163,203.960667644163,203.960667644163,207.211074261485,207.640218148442,210.416870462567,221.434320715125,222.761187676316,223.761742618317,256.161343380392,30,269.991059007527,269.991059007527,30,30,284.130713182619,284.130713182619,30,30,30,30,311.805651662153,30,312.80207660412,313.306530523491,315.335797894791,315.335797894791,317.506341055807,317.993428825326,325.354195492747,409.546992329178,409.546992329178,30,30,30,30,421.142712961219,891.96979398843,191.96979398843,905.248658062477,908.519271515025,30,30,930.093496412111,939.542613886643,1143.07856806743,1189.81369339121,30,1196.36528049206,30,30,1207.56774267913,30,30,30,30,30,30,30,30,1271.73079428797,30,1306.13472343719,30,1496.26316944838,30,1529.44181448273,26.9776000236602,81.0947529129297,24.917708556058,49.3123953176908,166.618178658461
"2011-02-04",200.94123222355,200.94123222355,200.94123222355,204.070360897569,204.479166330955,207.164098608064,217.969917364879,219.267862671908,220.24760371817,251.92771224261,30,265.4075728219,265.4075728219,30,30,279.133853872235,279.133853872235,30,30,30,30,306.146690946719,30,307.105279977016,307.585407277497,309.539918832054,309.539918832054,311.641348841494,312.109604865589,319.265463099245,397.640531403206,397.640531403206,30,30,30,30,408.954728230699,859.430488668931,159.430488668931,872.318681954335,875.494441028497,30,30,896.430760631561,905.550313061342,1104.85429461734,1150.82991052486,30,1157.1601214546,30,30,1168.01099385111,30,30,30,30,30,30,30,30,1230.55336063957,30,1263.97675377012,30,1449.62533675291,30,1481.88186778798,26.4186385203121,75.378062080968,24.6264748337381,48.2287886933187,162.765268777248
"2011-02-05",198.084250163947,198.084250163947,198.084250163947,201.109650817019,201.498328958599,204.074136432256,214.705745206445,215.968489136181,216.919651609459,247.915996408856,30,261.042706773395,261.042706773395,30,30,274.372802867966,274.372802867966,30,30,30,30,300.743277901043,30,301.664238627134,302.121009082615,303.999830101226,303.999830101226,306.033441163045,306.484200449411,313.441358069525,386.620184181682,386.620184181682,30,30,30,30,397.448786071989,829.018312506529,129.018312506529,841.493489306217,844.565880270301,30,30,864.856122548351,873.646628793052,1068.92758168274,1114.1362553907,30,1120.25269048046,30,30,1130.77517662039,30,30,30,30,30,30,30,30,1191.80431408278,30,1224.26760006711,30,1405.78042012645,30,1437.09517675124,25.904885809268,70.3684722989673,24.3342875806375,47.2235915182658,159.245134049087
"2011-02-06",195.524568760001,195.524568760001,195.524568760001,198.423954837464,198.791553798985,201.223612406001,211.694226845463,212.916168580536,213.829702940843,244.206213704359,30,256.965882414956,256.965882414956,30,30,269.897948143008,269.897948143008,30,30,30,30,295.63666238442,30,296.51466202019,296.948349937109,298.743360595368,298.743360595368,300.705481849937,301.138527066679,307.897936450354,376.642149046815,376.642149046815,30,30,30,30,386.868237256823,800.835427907908,100.835427907908,812.88316619055,815.845096996545,30,30,835.485787191729,843.947209651589,1035.48373427855,1079.88254225614,30,1085.78843054047,30,30,1095.99087525071,30,30,30,30,30,30,30,30,1155.57528908874,30,1187.10104456175,30,1364.83758238921,30,1395.21563448893,25.472400564727,66.1580980638089,24.006155077904,46.2890491772365,156.075140114883
"2011-02-07",193.401119133378,193.401119133378,193.401119133378,196.234657172986,196.580464993612,198.789616462724,209.194515547351,210.352597005685,211.193935292618,240.97646781536,30,253.322865880421,253.322865880421,30,30,265.79296733213,265.79296733213,30,30,30,30,290.892781890371,30,291.717697507845,292.127433754329,293.820348525411,293.820348525411,295.702424276624,296.116846171843,302.680868229994,367.701223366002,367.701223366002,30,30,30,30,377.289809724734,774.836647068064,74.8366470680641,786.45241001078,789.303370177964,30,30,808.295058061169,816.426339679794,1004.62292417692,1048.17633821095,30,1053.8591961581,30,30,1063.7426025316,30,30,30,30,30,30,30,30,1121.94889996991,30,1152.55670733481,30,1326.87281067222,30,1356.34520422818,25.1229734810188,62.6644204278565,23.6445249402488,45.4243569444343,153.251317396169
"2011-02-08",191.769237865534,191.769237865534,191.769237865534,194.449394806285,194.774939612756,196.763298940946,207.034444534424,208.141668184729,208.923890723855,238.182712788234,30,250.125359780584,250.125359780584,30,30,262.101784184412,262.101784184412,30,30,30,30,286.568866790789,30,287.332433103881,287.718101693269,289.294596561553,289.294596561553,291.08786382348,291.48247986588,297.849077073528,359.738278830067,359.738278830067,30,30,30,30,368.700230088788,750.95860878273,50.95860878273,762.149557113572,764.890731220239,30,30,783.246161078036,791.052950428352,976.454395396733,1019.13481516209,30,1024.58615770486,30,30,1034.14854137246,30,30,30,30,30,30,30,30,1091.03705695649,30,1120.7750597678,30,1291.97814325975,30,1320.58159832983,24.8277297748811,59.7525399594479,23.2578495438964,44.6184424888449,150.753625708843
"2011-02-09",190.599387797599,190.599387797599,190.599387797599,193.120563052437,193.426108415511,195.179113631492,205.246182302972,206.30149571085,207.023641215688,235.794307441947,30,247.350948322302,247.350948322302,30,30,258.829339248482,258.829339248482,30,30,30,30,282.6855403475,30,283.384955101292,283.747806566025,285.201289701741,285.201289701741,286.901995989278,287.276919875624,293.449641051259,352.672822446437,352.672822446437,30,30,30,30,361.044363068713,729.076817953029,30,739.863335641129,742.500022073708,30,30,760.244587269661,767.738282574669,950.969312599924,992.759704297929,30,997.977464694141,30,30,1007.21910189264,30,30,30,30,30,30,30,30,1062.82731410191,30,1091.71465321951,30,1260.12942795433,30,1287.90583627115,24.5566922238715,57.2887036618995,22.8449393338117,43.8626449279475,148.564022532764
"2011-02-10",189.821625518391,189.821625518391,189.821625518391,192.197132890753,192.484042823731,194.013878140704,203.86361753816,204.865237761418,205.522520019335,233.807850722245,30,244.987522705355,244.987522705355,30,30,255.967946119255,255.967946119255,30,30,30,30,279.218370765841,30,279.855642500068,280.196949831655,281.529096948991,281.529096948991,283.138613438868,283.493724790949,289.479433366411,346.38536783504,346.38536783504,30,30,30,30,354.217384166509,708.985232570318,30,719.392823260996,721.933083856203,30,30,739.099545700219,746.297582812252,927.995835761347,968.907428293818,30,973.901289296449,30,30,982.831632061058,30,30,30,30,30,30,30,30,1037.22589651081,30,1065.29708636427,30,1231.21694156204,30,1258.2095186652,24.2894623205097,55.150897409808,22.4236406441894,43.154871102302,146.674464521863
"2011-02-11",189.383205664144,189.383205664144,189.383205664144,191.626910770432,191.896631579696,193.224435470719,202.871573754722,203.821343133442,204.414441472841,232.220451508265,30,243.031646230145,243.031646230145,30,30,253.515754904068,253.515754904068,30,30,30,30,276.162174804454,30,276.73748733985,277.058037780963,278.269378149647,278.269378149647,279.789192452221,280.125002598588,285.930269937915,340.767820961802,340.767820961802,30,30,30,30,348.109863057718,690.466190198131,30,700.520935758147,702.97288085608,30,30,719.594999295976,726.515498298197,907.189073461603,947.244641179815,30,952.032745197613,30,30,960.670358193454,30,30,30,30,30,30,30,30,1013.93566507054,30,1041.23169770903,30,1204.97052798527,30,1231.22099458097,24.0195040473369,53.2415243656009,21.9987226934399,42.4911567699371,145.078596597718
