reach_id,FromN,ToN,Slope,el_FN,el_TN,Wac,Q,n,D16,D50,D84,Length,deposit,Trib,Name
1,1,2,0.045493351,1040.030029,947.5800171,12.66529328,0.091,0.04,0.028,0.038,0.058,2042.490625,1.00E+05,n,
2,2,3,0.026837768,947.5800171,898.8300171,42.21764428,0.197,0.04,0.03,0.04,0.06,1800.325529,1.00E+05,n,
3,3,4,0.02328911,898.8300171,847.5,17.00066667,0.261,0.04,0.03,0.04,0.06,2143.159535,1.00E+05,n,
4,4,5,0.019851848,847.5,796.5599976,35.81422917,0.539,0.04,0.029704,0.042813,0.055922,2695.132009,1.00E+05,n,
5,59,5,0.086662362,946.1599731,796.5599976,110,0.048,0.04,0.02147,0.0425,0.06353,1568.170637,1.00E+05,T,Rovadia
6,5,6,0.020143248,796.5599976,769.2399902,61.57967778,0.609,0.04,0.02,0.04,0.06,1249.040305,1.00E+05,n,
7,6,7,0.019662382,769.2399902,718.7199707,107.1382045,0.674,0.04,0.02,0.04,0.06,2586.477009,1.00E+05,n,
8,7,8,0.017935497,718.7199707,680.4299927,140.2605937,0.778,0.04,0.02,0.038,0.058,2101.553823,1.00E+05,n,
9,60,8,0.015945287,694.4500122,680.4299927,48.52562694,0.118,0.04,0.0204057,0.03262,0.04484822,1033.483238,1.00E+05,T,Poschiedea
10,8,9,0.027959671,680.4299927,575.2999878,60.86461458,1.034,0.04,0.02,0.04,0.06,4280.690468,0.00E+00,n,
11,9,10,0.010765083,575.2999878,542.0599976,37.73182955,1.152,0.04,0.02,0.04,0.06,3111.933274,0.00E+00,n,
12,10,11,0.007485187,542.0599976,522.2299805,82.38077222,1.379,0.04,0.02,0.04,0.06,2439.118537,1.00E+05,n,
13,11,12,0.006472305,522.2299805,504.4599915,115.9855208,1.462,0.04,0.02,0.04,0.06,2791.803168,1.00E+05,n,
14,12,13,0.019290515,504.4599915,426.019989,37.13931047,1.562,0.04,0.02,0.04,0.06,3834.21397,0.00E+00,n,
15,13,14,0.01083927,426.019989,402.2399902,31.45508838,1.675,0.04,0.02,0.04,0.06,2665.235296,1.00E+05,n,
16,61,14,0.011896532,430.2099915,402.2399902,36.83552331,1.475,0.04,0.02,0.03,0.04,2760.711121,1.00E+05,T,Lumiei
17,14,15,0.008312854,402.2399902,382.4899902,41.80491786,3.215,0.04,0.02,0.04,0.06,2451.388528,1.00E+05,n,
18,15,16,0.007563725,382.4899902,372.0499878,102.2999583,3.513,0.04,0.018658,0.03232,0.045982,1317.44152,1.00E+05,n,
19,62,16,0.015926832,382.2200012,372.0499878,90,0.011,0.04,0.020792,0.036739,0.052687,670.5259188,1.00E+05,T,Seazzo
20,16,17,0.008429547,372.0499878,369.4700012,156.536625,3.581,0.04,0.02,0.03,0.05,427.7927429,1.00E+05,n,
21,63,17,0.073661016,404.4200134,369.4700012,35,0.008,0.04,0.023236,0.038377,0.053518,1177.892091,1.00E+05,T,Spisulo
22,17,18,0.007077345,369.4700012,356.480011,164.2240804,3.623,0.04,0.02,0.03,0.05,1790.588622,1.00E+05,n,
23,64,18,0.012786927,375.75,356.480011,180,2.256,0.04,0.018434,0.036917,0.0554,1826.792372,1.00E+05,T,Degano
24,18,19,0.005954186,356.480011,346.019989,158.9803864,5.933,0.04,0.02,0.03,0.05,1511.172619,1.00E+05,n,
25,19,20,0.006064553,346.019989,328.6900024,118.2539355,6.054,0.04,0.02,0.03,0.05,2680.270521,1.00E+05,n,
26,20,21,0.005750843,328.6900024,305.8599854,85.24421946,6.37,0.04,0.02,0.03,0.05,4162.729399,1.00E+05,n,
27,65,21,0.008946194,331.9899902,305.8599854,200,2.71,0.04,0.025149,0.04065,0.056159,3109.826498,1.00E+05,T,But
28,21,22,0.007096302,305.8599854,299.7399902,90.27652083,9.429,0.04,0.02,0.03,0.05,723.9621368,1.00E+05,n,
29,22,23,0.005802762,299.7399902,289.6600037,70.182,9.542,0.04,0.02,0.03,0.05,1838.223504,1.00E+05,n,
30,23,24,0.006049822,289.6600037,272,105.9387692,9.807,0.04,0.02,0.03,0.05,3051.402552,1.00E+05,n,
31,24,25,0.005503234,272,260.3900146,243.1041603,10.151,0.04,0.02,0.03,0.05,2265.247885,1.00E+05,n,
32,25,26,0.004808365,260.3900146,242.1499939,268.4210441,10.324,0.04,0.02,0.03,0.05,4158.785059,1.00E+05,n,
33,66,26,0.005777234,264.8800049,242.1499939,420,6.861,0.04,0.031229,0.045914,0.060599,4615.391386,1.00E+05,T,Fella
34,26,27,0.003583802,242.1499939,235.0599976,145.116,17.41,0.04,0.02,0.04,0.06,1293.947376,1.00E+05,n,
35,27,28,0.003335118,235.0599976,223.1399994,118.0567357,17.63,0.04,0.02,0.04,0.06,3700.344369,1.00E+05,n,
36,28,29,0.003602295,223.1399994,216.8099976,135.5787857,18.266,0.04,0.02,0.04,0.06,1699.555624,1.00E+05,n,
37,29,30,0.004124517,216.8099976,203.8300018,140.5002262,18.343,0.04,0.02,0.04,0.06,3364.436283,1.00E+05,n,
38,30,31,0.004116178,203.8300018,198.6799927,122.3811667,18.564,0.04,0.02,0.04,0.06,1321.80424,1.00E+05,n,
39,31,32,0.003868644,198.6799927,189.7799988,132.6847361,18.692,0.04,0.02,0.04,0.06,2182.310326,1.00E+05,n,
40,32,33,0.003793719,189.7799988,170.9100037,127.5969875,18.79,0.04,0.019015,0.042034,0.065054,4785.867043,1.00E+05,n,
41,33,34,0.003311032,170.9100037,165.6900024,194.7325632,20.286,0.04,0.02,0.04,0.06,1238.573875,1.00E+05,n,
42,34,35,0.003929921,165.6900024,149.0200043,251.3205731,20.431,0.04,0.02,0.04,0.06,4608.454646,1.00E+05,n,
43,35,36,0.002808709,149.0200043,137.3399963,244.0632917,23.476,0.04,0.025223,0.046976,0.068728,4403.610009,1.00E+05,n,
44,67,36,0.007294288,141.9499969,137.3399963,45,2.171,0.04,0.018494,0.034646,0.0570798,1287.411952,1.00E+05,T,Arzino
45,36,37,0.002558982,137.3399963,133.5099945,180.015625,26.113,0.04,0.02,0.04,0.06,912.4266727,1.00E+05,n,
46,37,38,0.001491509,133.5099945,131.6199951,196.1127333,26.214,0.04,0.02,0.04,0.06,1059.680309,1.00E+05,n,
47,38,39,0.003142167,131.6199951,120.5199966,187.3807958,26.353,0.04,0.02,0.04,0.06,3602.683939,1.00E+05,n,
48,39,40,0.003069333,120.5199966,114.7200012,213.558169,26.591,0.04,0.02,0.04,0.06,1996.968423,1.00E+05,n,
49,40,41,0.002921848,114.7200012,94.48000336,215.6789444,26.948,0.04,0.02,0.04,0.06,6688.84562,1.00E+05,n,
50,41,42,0.002867332,94.48000336,84.41000366,160.5526197,28.387,0.04,0.02,0.04,0.06,3619.803444,1.00E+05,n,
51,68,42,0.005172963,97.44999695,84.41000366,80.9463968,2.793,0.04,0.020812,0.043143,0.065474,2785.411677,1.00E+05,T,Cosa
52,42,43,0.003289353,84.41000366,69.36000061,104.7642333,31.822,0.04,0.02,0.04,0.06,4812.967433,1.00E+05,n,
53,43,44,0.003107438,69.36000061,58.81000137,78.12271275,32.696,0.04,0.02,0.04,0.06,2918.434987,1.00E+05,n,
54,44,45,0.00290004,58.81000137,52.97999954,79.03213493,32.924,0.04,0.02,0.04,0.06,2706.041514,1.00E+05,n,
55,45,46,0.002705437,52.97999954,35.34000015,98.27598278,33.755,0.04,0.030551,0.051668,0.072786,6089.25205,1.00E+05,n,
56,46,47,0.00210562,35.34000015,24.87000084,120.0720625,34.721,0.04,0.03,0.05,0.07,4830.100493,1.00E+05,n,
57,47,48,0.002355773,24.87000084,19.60000038,120.6084167,35.116,0.04,0.03,0.05,0.07,2830.454262,1.00E+05,n,
58,48,49,0.002199309,19.60000038,11.68000031,94.83636979,36.026,0.04,0.027736,0.049702,0.071667,3791.661716,1.00E+05,n,
59,49,50,0.001314264,11.68000031,4.929999828,87.94362917,37.969,0.04,0.021455,0.044827,0.068199,4801.679245,1.00E+05,n,
60,50,51,0.000727251,4.929999828,2.150000095,88.1493125,38.853,0.04,0.038509,0.04983,0.06115,2955.304662,1.00E+05,n,
61,51,52,0.000565428,2.150000095,0.970000029,37.83565,39.111,0.04,0.02,0.04,0.06,2315.190977,1.00E+05,n,
62,52,53,,,,32.5,39.304,0.04,0.01,0.03,0.05,,1.00E+05,n,
63,53,54,,,,32.5,39.511,0.02,0.01,0.03,0.05,,1.00E+05,n,
64,54,55,,,,37.5,39.752,0.02,0.01,0.03,0.05,,1.00E+05,n,
65,55,56,,,,40,39.987,0.02,0.01,0.03,0.05,,1.00E+05,n,
66,56,57,,,,37.5,40.066,0.02,0.01,0.03,0.05,,1.00E+05,n,
67,57,58,,,,37.5,40.153,0.02,0.01,0.03,0.05,,1.00E+05,n,
68,58,58,,,,60,40.231,0.02,0.01,0.03,0.05,,1.00E+05,n,
