reach_id,FromN,ToN,Slope,el_FN,el_TN,Wac,Q,n,D16,D50,D84,Length,deposit,Trib,Name
1,1,2,0.045,1040.030029,947.5800171,4.081011119,0.091,0.04,0.028,0.038,0.058,2059.48864,1.00E+05,n,
2,2,3,0.029,947.5800171,898.8300171,13.6033704,0.197,0.04,0.03,0.04,0.06,1694.153079,1.00E+05,n,
3,3,4,0.026,898.8300171,847.5,13.79605042,0.261,0.04,0.03,0.04,0.06,2001.567557,1.00E+05,n,
4,4,5,0.02,847.5,796.5599976,17.62353772,0.539,0.04,0.029704,0.042813,0.055922,2567.573787,1.00E+05,n,
5,59,5,0.102,946.1599731,796.5599976,0.217184398,0.048,0.04,0.02147,0.0425,0.06353,1465.298187,1.00E+05,T,Rovadia
6,5,6,0.023,796.5599976,769.2399902,3.80309289,0.609,0.04,0.02,0.04,0.06,1173.486909,1.00E+05,n,
7,6,7,0.02,769.2399902,718.7199707,14.25937208,0.674,0.04,0.02,0.04,0.06,2540.698975,1.00E+05,n,
8,7,8,0.019,718.7199707,680.4299927,22.68144845,0.778,0.04,0.02,0.038,0.058,1990.127174,1.00E+05,n,
9,60,8,0.018,694.4500122,680.4299927,10.48845136,0.118,0.04,0.0204057,0.03262,0.04484822,782.3041379,1.00E+05,T,Poschiedea
10,8,9,0.026,680.4299927,575.2999878,11.58614192,1.034,0.04,0.02,0.04,0.06,4091.703654,1.00E-01,n,
11,9,10,0.011,575.2999878,542.0599976,13.81841441,1.152,0.04,0.02,0.04,0.06,2998.338634,1.00E-01,n,
12,10,11,0.009,542.0599976,522.2299805,28.37015436,1.379,0.04,0.02,0.04,0.06,2209.322524,1.00E+05,n,
13,11,12,0.007,522.2299805,504.4599915,40.87151589,1.462,0.04,0.02,0.04,0.06,2714.087029,1.00E+05,n,
14,12,13,0.021,504.4599915,426.019989,21.06553475,1.562,0.04,0.02,0.04,0.06,3799.892868,1.00E-01,n,
15,13,14,0.01,426.019989,402.2399902,23.58189019,1.675,0.04,0.02,0.04,0.06,2431.933877,1.00E+05,n,
16,61,14,0.013,430.2099915,402.2399902,2.736794093,1.475,0.04,0.02,0.03,0.04,2103.118994,1.00E+05,T,Lumiei
17,14,15,0.008,402.2399902,382.4899902,1.980054041,3.215,0.04,0.02,0.04,0.06,2428.691223,1.00E+05,n,
18,15,16,0.009,382.4899902,372.0499878,30,3.513,0.04,0.018658,0.03232,0.045982,1147.770483,1.00E+05,n,
19,62,16,0.015,382.2200012,372.0499878,15,0.011,0.04,0.020792,0.036739,0.052687,691.6460362,1.00E+05,T,Seazzo
20,16,17,0.006,372.0499878,369.4700012,35,3.581,0.04,0.02,0.03,0.05,414.0981634,1.00E+05,n,
21,63,17,0.042,404.4200134,369.4700012,15,0.008,0.04,0.023236,0.038377,0.053518,822.7788162,1.00E+05,T,Spisulo
22,17,18,0.008,369.4700012,356.480011,40,3.623,0.04,0.02,0.03,0.05,1555.996625,1.00E+05,n,
23,64,18,0.011,375.75,356.480011,27.33058879,2.256,0.04,0.018434,0.036917,0.0554,1706.509128,1.00E+05,T,Degano
24,18,19,0.007,356.480011,346.019989,25.12063626,5.933,0.04,0.02,0.03,0.05,1519.272243,1.00E+05,n,
25,19,20,0.007,346.019989,328.6900024,55.80061177,6.054,0.04,0.02,0.03,0.05,2579.351417,1.00E+05,n,
26,20,21,0.007,328.6900024,305.8599854,61.05993797,6.37,0.04,0.02,0.03,0.05,3509.814019,1.00E+05,n,
27,65,21,0.01,331.9899902,305.8599854,27.52716669,2.71,0.04,0.025149,0.04065,0.056159,2549.376023,1.00E+05,T,But
28,21,22,0.006,305.8599854,299.7399902,34.48610989,9.429,0.04,0.02,0.03,0.05,1034.779702,1.00E+05,n,
29,22,23,0.007,299.7399902,289.6600037,46.17516025,9.542,0.04,0.02,0.03,0.05,1476.185805,1.00E+05,n,
30,23,24,0.006,289.6600037,272,141.1953463,9.807,0.04,0.02,0.03,0.05,2831.210857,1.00E+05,n,
31,24,25,0.006,272,260.3900146,115.0248346,10.151,0.04,0.02,0.03,0.05,1947.937709,1.00E+05,n,
32,25,26,0.006,260.3900146,242.1499939,126.0963714,10.324,0.04,0.02,0.03,0.05,3690.668566,1.00E+05,n,
33,66,26,0.007,264.8800049,242.1499939,262.7407911,6.861,0.04,0.031229,0.045914,0.060599,3485.258695,1.00E+05,T,Fella
34,26,27,0.005,242.1499939,235.0599976,307.3024264,17.41,0.04,0.02,0.04,0.06,1398.118555,1.00E+05,n,
35,27,28,0.004,235.0599976,223.1399994,111.259853,17.63,0.04,0.02,0.04,0.06,3242.10122,1.00E+05,n,
36,28,29,0.004,223.1399994,216.8099976,70.95879173,18.266,0.04,0.02,0.04,0.06,1475.078878,1.00E+05,n,
37,29,30,0.004,216.8099976,203.8300018,163.9800403,18.343,0.04,0.02,0.04,0.06,3029.78822,1.00E+05,n,
38,30,31,0.005,203.8300018,198.6799927,58.13854011,18.564,0.04,0.02,0.04,0.06,1134.387985,1.00E+05,n,
39,31,32,0.004,198.6799927,189.7799988,40.85728577,18.692,0.04,0.02,0.04,0.06,2053.073796,1.00E+05,n,
40,32,33,0.005,189.7799988,170.9100037,185.1827337,18.79,0.04,0.019015,0.042034,0.065054,4092.592069,1.00E+05,n,
41,33,34,0.005,170.9100037,165.6900024,179.5973743,20.286,0.04,0.02,0.04,0.06,1043.965989,1.00E+05,n,
42,34,35,0.004,165.6900024,149.0200043,136.6686566,20.431,0.04,0.02,0.04,0.06,4292.747893,1.00E+05,n,
43,35,36,0.003,149.0200043,137.3399963,75.45540503,23.476,0.04,0.025223,0.046976,0.068728,3602.495084,1.00E+05,n,
