Y,Z,1,Active_channel_mask
1705.96,125.18,36,1
1732.83,125.1,36,1
1736.32,125.91,36,1
1770.97,125.31,36,1
1776.87,124.89,36,1
1784.5,125.07,36,1
1805.01,125.2,36,1
1806.95,126.35,36,1
1826.38,126.09,36,1
1827.56,124.74,36,1
1833.23,125.33,36,1
1842.33,124.81,36,1
1843.43,124.53,36,1
1844.43,124.36,36,1
1845.43,124.3,36,1
1846.43,124.26,36,1
1847.43,124.16,36,1
1848.43,124.02,36,1
1849.43,123.98,36,1
1850.43,123.92,36,1
1851.43,123.89,36,1
1852.43,123.87,36,1
1853.43,123.95,36,1
1854.43,123.9,36,1
1855.43,123.97,36,1
1856.43,124.07,36,1
1857.43,124.25,36,1
1858.43,124.33,36,1
1859.43,124.33,36,1
1860.43,124.39,36,1
1861.43,124.47,36,1
1862.43,124.44,36,1
1863.43,124.5,36,1
1864.43,124.58,36,1
1865.43,124.64,36,1
1866.43,124.61,36,1
1867.43,124.69,36,1
1868.43,124.74,36,1
1869.43,124.79,36,1
1870.43,124.74,36,1
1871.43,124.7,36,1
1872.43,124.75,36,1
1885.56,125.3,36,1
1897.69,124.7,36,1
1898.69,124.83,36,1
1930.19,125.36,36,1
1939.69,125.02,36,1
1957.17,125.65,36,1
1960.72,125.07,36,1
1963.97,125.6,36,1
1980.08,125.58,36,1
1995.52,125.33,36,1
2000.65,125.27,36,1
2003.24,124.85,36,1
2004.24,124.37,36,1
2005.24,124.44,36,1
2006.24,124.34,36,1
2007.24,124.19,36,1
2008.24,124.25,36,1
2009.24,124.31,36,1
2010.24,124.25,36,1
2011.24,124.33,36,1
2012.24,124.52,36,1
2013.24,124.67,36,1
2014.24,124.42,36,1
2015.24,124.36,36,1
2016.24,124.45,36,1
2017.24,124.54,36,1
2018.24,124.39,36,1
2019.24,124.57,36,1
2020.24,124.5,36,1
2021.24,124.37,36,1
2022.24,124.42,36,1
2023.24,124.56,36,1
2024.24,124.61,36,1
2025.24,124.42,36,1
2026.24,124.56,36,1
2027.24,124.46,36,1
2028.24,124.36,36,1
2029.24,124.51,36,1
2030.24,124.59,36,1
2031.24,124.36,36,1
2032.24,124.51,36,1
2033.24,124.6,36,1
2034.24,124.54,36,1
2035.24,124.4,36,1
2036.24,124.46,36,1
2037.24,124.63,36,1
2038.24,124.53,36,1
2039.24,124.43,36,1
2040.24,124.5,36,1
2041.24,124.52,36,1
2042.24,124.54,36,1
2043.24,124.62,36,1
2044.24,124.73,36,1
2045.24,124.65,36,1
2046.24,124.72,36,1
2047.24,124.68,36,1
2048.24,124.8,36,1
2049.24,124.79,36,1
2050.24,124.7,36,1
2051.24,124.75,36,1
2051.63,124.88,36,1
2065.86,124.58,36,1
2066.69,124.94,36,1
2077.88,125.16,36,1
2086.26,125.08,36,1
2098.34,125.48,36,1
2128.34,125.77,36,1
2158.34,126,36,1
2173.97,125.86,36,1
2199.43,126,36,1
2212.53,126.26,36,1
2230.78,126,36,1
2240.29,126.85,36,1
2248.89,126.98,36,1
2253.48,127,36,1
2260.68,127.85,36,1
2263.15,127.59,36,1
2264.15,127.31,36,1
2265.15,126.53,36,1
2266.15,126.35,36,1
2267.15,126.17,36,1
2268.15,126.01,36,1
2269.15,126.11,36,1
2270.15,125.98,36,1
2271.15,126.02,36,1
2272.15,125.88,36,1
2273.15,125.92,36,1
2274.15,125.79,36,1
2275.15,125.87,36,1
2276.15,125.75,36,1
2277.15,125.68,36,1
2278.15,125.58,36,1
2279.15,125.5,36,1
2280.15,125.6,36,1
2281.15,125.72,36,1
2282.15,125.54,36,1
2283.15,125.59,36,1
2284.15,125.63,36,1
2285.15,125.79,36,1
2286.15,125.7,36,1
2287.15,125.7,36,1
2288.15,125.62,36,1
2289.15,125.74,36,1
2290.15,125.68,36,1
2291.15,125.6,36,1
