yyyy/mm/dd, reachID=1, reachID=2, reachID=3, reachID=4, reachID=5, reachID=6, reachID=7, reachID=8, reachID=9, reachID=10, reachID=11, reachID=12, reachID=13, reachID=14, reachID=15, reachID=16, reachID=17, reachID=18, reachID=19, reachID=20, reachID=21, reachID=22, reachID=23, reachID=24, reachID=25, reachID=26, reachID=27, reachID=28, reachID=29, reachID=30, reachID=31, reachID=32, reachID=33, reachID=34, reachID=35, reachID=36, reachID=37, reachID=38, reachID=39, reachID=40, reachID=41, reachID=42, reachID=43, reachID=44, reachID=45, reachID=46, reachID=47, reachID=48, reachID=49, reachID=50, reachID=51, reachID=52, reachID=53, reachID=54, reachID=55, reachID=56, reachID=57, reachID=58, reachID=59, reachID=60, reachID=61, reachID=62, reachID=63, reachID=64, reachID=65, reachID=66, reachID=67, reachID=68
01/01/2021,0.091,0.197,0.261,0.539,0.048,0.609,0.674,0.778,0.118,1.034,1.152,1.379,1.462,1.562,1.675,1.475,3.215,3.513,0.011,3.581,0.008,3.623,2.256,5.933,6.054,6.37,2.71,9.429,9.542,9.807,10.151,10.324,6.861,17.41,17.63,18.266,18.343,18.564,18.692,18.79,20.286,20.431,23.476,2.171,26.113,26.214,26.353,26.591,26.948,28.387,2.793,31.822,32.696,32.924,33.755,34.721,35.116,36.026,37.969,38.853,39.111,39.304,39.511,39.752,39.987,40.066,40.153,40.231
01/02/2021,0.09,0.195,0.258,0.53,0.047,0.598,0.66,0.762,0.117,1.013,1.126,1.339,1.419,1.517,1.626,1.47,3.16,3.455,0.011,3.521,0.008,3.563,2.238,5.855,5.974,6.288,2.859,9.486,9.572,9.802,10.176,10.352,6.448,17.068,17.278,18.246,18.325,18.57,18.651,18.722,21.418,21.489,23.794,4.528,28.117,28.145,28.083,28.082,27.918,28.377,3.514,32.15,32.054,31.904,32.561,33.385,33.442,34.113,35.848,36.775,37.104,37.387,37.651,38.013,38.47,38.691,39.214,39.888
01/03/2021,0.089,0.193,0.255,0.523,0.046,0.59,0.651,0.751,0.116,0.998,1.102,1.308,1.387,1.484,1.592,1.464,3.119,3.412,0.011,3.478,0.008,3.519,2.222,5.795,5.914,6.225,3.154,9.715,9.803,10.033,10.459,10.685,7.228,18.251,18.479,20.007,20.134,20.417,20.659,20.832,25.864,26.244,31.57,6.21,37.584,37.824,37.931,38.095,38.03,38.566,7.542,46.257,45.714,45.071,45.167,44.262,42.931,42.446,42.097,40.435,39.666,39.263,38.751,38.599,38.412,38.3,38.439,38.905
01/04/2021,0.089,0.19,0.252,0.517,0.045,0.583,0.642,0.741,0.116,0.985,1.089,1.29,1.366,1.462,1.569,1.458,3.089,3.381,0.011,3.445,0.008,3.486,2.209,5.749,5.866,6.174,3.148,9.66,9.784,10.064,10.499,10.734,6.652,17.679,17.944,19.239,19.365,19.705,19.988,20.224,24.061,24.467,30.303,4.396,35.686,36.014,36.359,36.927,37.443,39.408,5.753,46.113,47.326,47.717,48.738,50.064,50.487,51.377,53.139,53.372,53.073,52.756,51.958,51.085,49.194,47.917,45.634,43.659
01/05/2021,0.088,0.187,0.249,0.508,0.044,0.573,0.629,0.727,0.115,0.968,1.071,1.264,1.337,1.432,1.54,1.452,3.054,3.345,0.011,3.41,0.008,3.451,2.196,5.701,5.819,6.125,3.031,9.494,9.617,9.892,10.301,10.493,6.472,17.203,17.412,18.394,18.475,18.73,18.884,19.012,21.847,22.077,26.623,3.388,30.691,30.902,31.148,31.572,32.047,33.884,4.259,39.018,40.256,40.688,41.779,43.367,44.2,45.538,48.345,50.273,51.026,51.606,52.262,53.021,53.94,54.317,54.883,55.175
01/06/2021,0.087,0.184,0.245,0.497,0.043,0.56,0.614,0.711,0.115,0.947,1.05,1.238,1.311,1.406,1.512,1.446,3.02,3.309,0.011,3.373,0.007,3.413,2.183,5.65,5.767,6.072,2.837,9.243,9.36,9.63,10.016,10.197,6.024,16.446,16.656,17.49,17.562,17.81,17.963,18.089,20.569,20.791,24.824,2.921,28.295,28.445,28.623,28.932,29.297,30.818,3.655,35.172,36.066,36.289,37.186,38.239,38.691,39.732,42.079,43.597,44.221,44.734,45.37,46.171,47.359,48.029,49.409,50.965
01/07/2021,0.086,0.181,0.242,0.486,0.042,0.546,0.599,0.695,0.114,0.924,1.026,1.212,1.285,1.379,1.485,1.441,2.987,3.274,0.011,3.339,0.007,3.379,2.169,5.602,5.718,6.022,2.685,9.038,9.155,9.424,9.782,9.96,5.857,16.041,16.243,16.951,17.021,17.227,17.341,17.426,19.415,19.588,23.245,2.434,26.177,26.303,26.464,26.716,27.089,28.581,3.258,32.502,33.423,33.657,34.547,35.557,35.98,36.973,39.109,40.151,40.501,40.787,41.133,41.587,42.236,42.617,43.456,44.563
01/08/2021,0.085,0.179,0.24,0.475,0.041,0.53,0.582,0.677,0.113,0.904,1.005,1.188,1.26,1.354,1.459,1.434,2.955,3.24,0.011,3.305,0.007,3.344,2.155,5.553,5.669,5.971,2.59,8.889,9.002,9.266,9.609,9.781,5.636,15.636,15.827,16.436,16.503,16.683,16.786,16.862,18.425,18.55,21.771,1.919,24.132,24.227,24.368,24.599,24.963,26.428,2.851,29.919,30.827,31.054,31.932,32.918,33.33,34.321,36.461,37.497,37.843,38.129,38.477,38.905,39.501,39.825,40.468,41.223
01/09/2021,0.084,0.177,0.237,0.462,0.04,0.513,0.565,0.658,0.112,0.883,0.984,1.163,1.235,1.328,1.433,1.428,2.922,3.205,0.011,3.269,0.007,3.308,2.141,5.504,5.62,5.919,2.54,8.785,8.895,9.156,9.493,9.662,5.487,15.364,15.541,16.087,16.15,16.31,16.403,16.47,17.826,17.927,20.843,1.607,22.795,22.862,22.967,23.156,23.477,24.821,2.629,28.021,28.83,29.002,29.832,30.706,31.045,31.987,34.06,35.032,35.357,35.631,35.964,36.374,36.944,37.254,37.881,38.622
01/10/2021,0.084,0.175,0.235,0.451,0.039,0.501,0.552,0.644,0.111,0.866,0.965,1.142,1.214,1.306,1.41,1.422,2.892,3.173,0.011,3.237,0.007,3.275,2.127,5.456,5.572,5.869,2.51,8.702,8.81,9.069,9.403,9.571,5.394,15.179,15.342,15.851,15.911,16.065,16.151,16.212,17.469,17.56,20.321,1.415,22.011,22.066,22.144,22.304,22.595,23.862,2.514,26.903,27.639,27.77,28.563,29.341,29.606,30.484,32.439,33.25,33.494,33.708,33.96,34.291,34.752,35.01,35.559,36.248
