Y,Z,1,Active_channel_mask
0.0,117.49,36,0
2.13,107.58,36,0
7.3,104.82,36,0
11.2,102.23,36,0
18.62,99.4,36,0
19.82,98.54,36,0
39.89,97.82,36,0
43.59,95.59,36,0
46.02,95.25,36,0
47.18,94.16,36,0
47.67,94.13,36,0
48.78,95.11,36,0
49.6,95.17,36,0
51.58,93.53,36,0
69.87,93.29,36,0
89.14,93.21,36,0
115.72,93.28,36,0
131.74,93.36,36,0
134.68,93.13,36,0
135.84,92.79,36,0
137.62,93.33,36,0
140.82,93.15,36,0
142.15,92.97,36,0
144.23,92.83,36,0
146.06,93.3,36,0
150.08,93.51,36,0
176.7,93.7,36,0
199.27,93.1,36,0
204.77,93.06,36,0
205.55,92.86,36,0
207.74,93.09,36,0
209.43,91.58,36,0
210.95,92.08,36,0
212.95,93.05,36,0
264.22,92.94,36,0
291.67,92.97,36,0
320.09,92.8,36,0
365.86,93.15,36,0
403.8,93.26,36,0
424.65,93.42,36,0
426.36,92.61,36,0
428.11,92.93,36,0
430.45,93.48,36,0
435.5,93.12,36,0
442.96,92.98,36,0
471.3,93.67,36,0
498.05,93.76,36,1
500.48,93.66,36,1
502.15,93.85,36,1
504.08,94.17,36,1
505.97,94.22,36,1
512.15,92.8,36,1
521.39,93.08,36,1
534.44,92.92,36,1
546.04,92.73,36,1
559.31,92.65,36,1
560.74,92.95,36,1
574.18,92.83,36,1
587.29,92.4,36,1
589.12,92.08,36,1
597.63,91.96,36,1
605.52,93.11,36,1
619.06,93.91,36,1
621.87,92.33,36,1
629.25,92.42,36,1
633.57,92.28,36,1
643.36,92.36,36,1
649.73,92.1,36,1
669.45,92.62,36,1
671.46,92.39,36,1
674.94,92.42,36,1
678.32,93.22,36,1
683.24,93.42,36,1
701.95,93.04,36,1
725.51,93.02,36,1
748.99,92.81,36,1
776.17,92.83,36,1
805.73,92.78,36,1
832.72,92.81,36,1
846.04,92.16,36,1
864.6,92.15,36,1
886.34,92.25,36,1
898.39,91.83,36,1
908.31,91.7,36,1
919.9,91.51,36,1
932.84,91.22,36,1
939.49,91.16,36,1
946.2,91.31,36,1
956.21,91.73,36,1
962.82,92.73,36,1
979.76,92.16,36,1
1003.09,91.69,36,1
1008.15,91.44,36,1
1023.45,91.4,36,1
1024.5,91.25,36,1
1029.12,91.04,36,1
1035.79,90.87,36,1
1038.43,91.27,36,1
1040.16,92.13,36,1
1055.03,92.48,36,1
1071.1,92.4,36,1
1071.95,93.0,36,1
1077.36,91.84,36,1
1087.68,91.18,36,1
1089.96,90.98,36,1
1094.51,90.78,36,1
1097.34,90.52,36,1
1098.82,91.2,36,1
1100.19,92.8,36,1
1122.9,92.86,36,1
1135.16,92.72,36,1
1166.92,92.74,36,1
1168.18,92.65,36,1
1168.91,92.56,36,1
1176.39,92.7,36,0
1202.84,92.84,36,0
1207.67,92.57,36,0
1212.59,93.06,36,0
1225.16,92.81,36,0
1233.24,92.29,36,0
1247.0,92.41,36,0
1254.02,91.94,36,0
1259.42,91.33,36,0
1264.21,91.27,36,0
1267.68,92.05,36,0
1281.29,92.12,36,0
1293.69,92.23,36,0
1297.04,92.92,36,0
1302.88,93.34,36,0
1314.09,92.91,36,0
1316.49,92.54,36,0
1323.48,92.97,36,0
1326.24,92.61,36,0
1334.32,92.23,36,0
1344.9,92.44,36,0
1350.11,92.2,36,0
1356.13,92.44,36,0
1363.25,92.37,36,0
1372.74,92.13,36,0
1376.03,92.32,36,0
1378.73,92.89,36,0
1387.74,93.23,36,0
1391.83,92.69,36,0
1403.94,92.52,36,0
1406.21,92.58,36,0
1418.16,92.94,36,0
1437.28,92.96,36,0
1440.07,92.73,36,0
1469.4,92.87,36,0
1487.19,92.83,36,0
1516.83,93.0,36,0
1545.02,93.19,36,0
1572.06,93.84,36,0
1600.68,93.95,36,0
1634.3,93.59,36,0
1652.13,93.86,36,0
1680.67,94.12,36,0
1709.35,94.14,36,0
1720.34,93.44,36,0
1740.13,94.0,36,0
1751.79,93.47,36,0
1765.86,93.61,36,0
1767.92,93.88,36,0
1773.92,94.18,36,0
1819.63,94.3,36,0
1822.03,94.35,36,0
1846.95,94.05,36,0
1875.97,94.01,36,0
1903.99,93.82,36,0
1930.71,93.66,36,0
1958.88,93.93,36,0
1986.86,94.09,36,0
2015.28,94.06,36,0
2041.83,93.86,36,0
2068.63,93.92,36,0
2096.35,94.16,36,0
2122.92,94.15,36,0
2126.09,94.13,36,0
2155.39,94.1,36,0
2182.49,94.32,36,0
2209.19,94.59,36,0
2236.41,103.76,36,0
