114
East	Nord	1	140	1	Active_channel_mask
344020.07	5079644.561	0.0	22.09	30	0
343994.302	5079644.25	25.77	12.27	30	0
343992.344	5079644.194	27.73	12.64	30	0
343988.669	5079644.203	31.41	12.64	30	0
343985.49	5079644.174	34.58	13.29	30	0
343981.121	5079644.036	38.95	13.38	30	0
343976.606	5079644.021	43.47	15.26	30	0
343975.223	5079644.093	44.85	15.09	30	0
343973.952	5079643.993	46.13	15.33	30	0
343968.777	5079643.887	51.31	12.47	30	0
343965.934	5079643.879	54.15	12.11	30	0
343945.901	5079643.655	74.19	11.49	30	0
343945.166	5079643.615	74.92	11.21	30	0
343944.938	5079643.647	75.15	11.18	30	0
343944.129	5079643.621	75.96	11.66	30	0
343909.932	5079643.206	110.16	12.23	30	0
343884.748	5079642.9	135.35	11.71	30	0
343884.296	5079642.895	135.8	10.53	30	0
343883.849	5079642.889	136.25	9.37	30	0
343882.074	5079642.869	138.02	9.31	30	0
343881.008	5079642.856	139.09	9.38	30	0
343880.582	5079642.851	139.51	10.53	30	0
343880.134	5079642.846	139.96	11.75	30	0
343848.314	5079642.473	171.79	12.08	30	0
343817.928	5079642.036	202.18	12.22	30	0
343782.09	5079641.615	238.02	12.29	30	0
343747.514	5079641.147	272.6	12.46	30	0
343717.621	5079640.822	302.5	12.33	30	0
343687.425	5079640.405	332.7	12.18	30	0
343657.249	5079640.041	362.88	11.89	30	0
343626.835	5079639.686	393.3	11.7	30	0
343587.193	5079639.222	432.94	11.42	30	0
343558.616	5079638.863	461.52	11.29	30	0
343527.686	5079638.46	492.46	11.27	30	0
343498.874	5079638.073	521.27	11.22	30	0
343477.022	5079637.779	543.13	11.18	30	0
343475.609	5079637.799	544.54	11.15	30	0
343472.703	5079637.776	547.45	11.2	30	0
343464.724	5079637.681	555.43	10.94	30	0
343461.445	5079637.596	558.71	11.46	30	0
343442.153	5079637.388	578.0	11.39	30	0
343413.718	5079636.866	606.44	10.43	30	0
343386.555	5079636.272	633.61	9.85	30	0
343357.867	5079635.859	662.3	9.08	30	1
343353.207	5079636.322	666.99	6.76	30	1
343348.38	5079636.213	671.82	6.63	30	1
343341.052	5079636.138	679.14	6.27	30	1
343333.142	5079636.095	687.06	6.12	30	1
343329.559	5079636.104	690.64	6.78	30	1
343328.149	5079636.123	692.05	7.37	30	1
343321.091	5079635.933	699.11	7.87	30	1
343299.958	5079635.687	720.25	8.1	30	1
343275.198	5079635.438	745.01	7.48	30	1
343270.574	5079635.378	749.63	6.6	30	1
343269.537	5079635.439	750.67	6.45	30	1
343262.651	5079635.27	757.56	6.14	30	1
343250.488	5079635.162	769.72	6.07	30	1
343238.433	5079634.956	781.78	6.1	30	1
343227.344	5079634.903	792.87	6.59	30	1
343224.025	5079634.785	796.19	6.9	30	1
343203.625	5079634.529	816.6	6.77	30	1
343190.063	5079634.332	830.16	6.46	30	1
343164.156	5079634.103	856.07	6.47	30	1
343138.863	5079633.655	881.37	6.59	30	1
343113.202	5079633.27	907.03	7.14	30	1
343110.793	5079633.368	909.44	7.97	30	1
343102.619	5079633.355	917.62	9.61	30	0
343095.308	5079633.294	924.93	10.08	30	0
343087.123	5079632.975	933.12	9.61	30	0
343081.66	5079632.939	938.58	9.77	30	0
343077.095	5079632.882	943.15	7.93	30	0
343075.029	5079632.85	945.22	7.75	30	0
343068.677	5079632.789	951.57	9.85	30	0
343063.78	5079632.698	956.47	8.77	30	0
343059.771	5079632.624	960.48	10.27	30	0
343053.328	5079632.715	966.92	10.65	30	0
343052.761	5079632.721	967.49	10.4	30	0
343050.856	5079632.661	969.39	10.07	30	0
343049.6	5079632.611	970.65	10.5	30	0
343035.952	5079632.431	984.3	10.55	30	0
343022.572	5079632.058	997.69	9.74	30	0
343019.991	5079632.124	1000.27	10.36	30	0
342998.593	5079631.932	1021.67	9.85	30	0
342994.463	5079632.102	1025.8	8.9	30	0
342981.2	5079631.671	1039.07	9.53	30	0
342962.591	5079631.483	1057.68	10.31	30	0
342938.14	5079631.174	1082.14	10.6	30	0
342896.693	5079630.602	1123.59	12.31	30	0
342873.367	5079630.355	1146.92	12.44	30	0
342861.85	5079630.243	1158.44	12.37	30	0
342853.523	5079630.139	1166.77	10.31	30	0
342850.962	5079630.106	1169.33	10.46	30	0
342844.59	5079630.027	1175.7	12.28	30	0
342812.072	5079629.602	1208.22	12.39	30	0
342809.468	5079629.563	1210.83	13.31	30	0
342808.188	5079629.549	1212.11	13.3	30	0
342806.289	5079629.538	1214.01	12.18	30	0
342786.234	5079629.268	1234.06	12.27	30	0
342762.246	5079628.94	1258.05	12.18	30	0
342757.21	5079628.923	1263.09	12.21	30	0
342755.652	5079628.933	1264.65	12.12	30	0
342739.764	5079628.689	1280.54	12.03	30	0
342738.855	5079628.715	1281.45	11.7	30	0
342737.936	5079628.692	1282.37	12.19	30	0
342709.395	5079628.3	1310.91	12.24	30	0
342708.464	5079628.289	1311.85	12.06	30	0
342707.068	5079628.296	1313.24	12.54	30	0
342686.324	5079628.053	1333.99	12.62	30	0
342657.635	5079627.662	1362.68	12.56	30	0
342653.766	5079627.617	1366.55	12.27	30	0
342650.491	5079627.593	1369.82	12.27	30	0
342636.883	5079627.422	1383.43	12.28	30	0
342613.67	5079627.13	1406.65	12.05	30	0
342613.572	5079627.156	1406.76	12.29	30	0
342611.658	5079627.153	1408.74	12.01	30	0
342611.162	5079627.131	1409.23	12.33	30	0
342578.475	5079626.687	1441.93	12.28	30	0
342578.005	5079626.696	1442.4	12.54	30	0
342577.387	5079626.669	1443.02	12.4	30	0
342544.1	5079626.3	1476.31	12.05	30	0
342535.501	5079626.195	1484.91	12.38	30	0
342517.195	5079625.937	1503.21	12.09	30	0
342516.438	5079625.891	1503.97	11.73	30	0
342516.028	5079625.921	1504.39	11.9	30	0
342507.937	5079625.783	1512.48	11.82	30	0
342507.115	5079625.829	1513.31	11.61	30	0
342493.174	5079625.607	1527.25	11.42	30	0
342492.468	5079625.603	1527.96	11.0	30	0
342492.081	5079625.608	1528.34	11.0	30	0
342491.321	5079625.626	1529.1	11.51	30	0
342479.03	5079625.49	1541.4	11.84	30	0
342476.424	5079625.444	1544.0	11.83	30	0
342473.408	5079625.372	1547.02	13.24	30	0
342469.282	5079625.374	1551.15	15.73	30	0
342467.76	5079625.421	1552.5	15.56	30	0
342466.44	5079625.325	1553.99	15.8	30	0
342462.691	5079625.27	1557.74	13.59	30	0
342460.86	5079625.244	1559.57	13.19	30	0
342458.22	5079625.213	1562.21	11.85	30	0
342456.147	5079625.196	1564.29	21.93	30	0
